n_total,n_retained,coverage,failure_rate,success_rate,failure_cp_upper,benchmark,selector,target_risk,public_pool_cases,manifest_cases,manifest_coverage,dataset
85,0,0.0,,,,posebench_public_pool_lodo,lodo_prior_physics_calibrated,0.5,,85,0.0,astex_diverse
99,89,0.898989898989899,0.5955056179775281,0.4044943820224719,0.6832465530358829,posebench_public_pool_lodo,lodo_prior_physics_calibrated,0.5,,189,0.4708994708994709,dockgen
305,262,0.8590163934426229,0.46564885496183206,0.5343511450381679,0.5183450352493155,posebench_public_pool_lodo,lodo_prior_physics_calibrated,0.5,,428,0.6121495327102804,posebusters_benchmark
85,62,0.7294117647058823,0.24193548387096775,0.7580645161290323,0.34781575686368743,posebench_public_pool_lodo,lodo_prior_physics_calibrated,0.55,,85,0.7294117647058823,astex_diverse
99,99,1.0,0.6161616161616161,0.38383838383838387,0.6981026949664055,posebench_public_pool_lodo,lodo_prior_physics_calibrated,0.55,,189,0.5238095238095238,dockgen
305,303,0.9934426229508196,0.49834983498349833,0.5016501650165017,0.5471031767070222,posebench_public_pool_lodo,lodo_prior_physics_calibrated,0.55,,428,0.7079439252336449,posebusters_benchmark
85,85,1.0,0.36470588235294116,0.6352941176470588,0.4590681926048641,posebench_public_pool_lodo,lodo_prior_physics_calibrated,0.6,,85,1.0,astex_diverse
99,99,1.0,0.6161616161616161,0.38383838383838387,0.6981026949664055,posebench_public_pool_lodo,lodo_prior_physics_calibrated,0.6,,189,0.5238095238095238,dockgen
305,304,0.9967213114754099,0.5,0.5,0.5486590805505741,posebench_public_pool_lodo,lodo_prior_physics_calibrated,0.6,,428,0.7102803738317757,posebusters_benchmark
85,0,0.0,,,,posebench_public_pool_lodo,blind_physics,0.3,,85,0.0,astex_diverse
99,0,0.0,,,,posebench_public_pool_lodo,blind_physics,0.3,,189,0.0,dockgen
305,0,0.0,,,,posebench_public_pool_lodo,blind_physics,0.3,,428,0.0,posebusters_benchmark
