benchmark,selector,target_risk,fold_dataset,threshold,calibration_retained_n,calibration_failure_rate,calibration_cp_upper,calibration_coverage
posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.55,dockgen,0.4583808195864154,381,0.5065616797900262,0.5498568010032627,0.9769230769230769
posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.55,posebusters_benchmark,0.6318844010271789,108,0.46296296296296297,0.5465281802424219,0.5869565217391305
posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.6,astex_diverse,0.4715680905821405,388,0.5567010309278351,0.5990439360521564,0.9603960396039604
posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.6,dockgen,2.111447347320646e-07,390,0.5153846153846153,0.5580991203531351,1.0
posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.6,posebusters_benchmark,0.5881070453415845,139,0.5251798561151079,0.5975200204442983,0.7554347826086957
posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.3,astex_diverse,,0,,,0.0
posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.3,dockgen,,0,,,0.0
posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.3,posebusters_benchmark,,0,,,0.0
posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.35,astex_diverse,,0,,,0.0
posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.35,dockgen,,0,,,0.0
posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.35,posebusters_benchmark,,0,,,0.0
posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.4,astex_diverse,,0,,,0.0
posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.4,dockgen,,0,,,0.0
posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.4,posebusters_benchmark,,0,,,0.0
posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.45,astex_diverse,,0,,,0.0
posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.45,dockgen,,0,,,0.0
posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.45,posebusters_benchmark,,0,,,0.0
posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.5,astex_diverse,,0,,,0.0
posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.5,dockgen,0.6591546119539429,91,0.4065934065934066,0.4981552430160932,0.23333333333333334
posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.5,posebusters_benchmark,,0,,,0.0
posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.55,astex_diverse,,0,,,0.0
posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.55,dockgen,0.1203405250023881,262,0.4961832061068702,0.5487374095167381,0.6717948717948717
posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.55,posebusters_benchmark,0.4360786723366455,96,0.4583333333333333,0.547260320934007,0.5217391304347826
posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.6,astex_diverse,0.1329711786131336,263,0.5475285171102662,0.5993183581104434,0.650990099009901
posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.6,dockgen,-0.3867344765084471,390,0.5435897435897435,0.5860060219000492,1.0
posebench_public_pool_lodo,lodo_hgb_antimemory_penalized,0.6,posebusters_benchmark,0.314887160103113,130,0.5230769230769231,0.5980028987577672,0.7065217391304348
