benchmark,detector,target_risk,fold,threshold,calibration_retained_n,calibration_failure_rate,calibration_cp_upper,calibration_coverage
runs_n_poses,rank_confidence_structure,0.1,4,0.2332957148457184,1678,0.08760429082240763,0.09979763667402045,0.44368059227921736
runs_n_poses,rank_confidence_structure,0.15,0,0.4484979913135654,2118,0.1369216241737488,0.14981688820089883,0.5601692673895795
runs_n_poses,rank_confidence_structure,0.15,1,0.4584772552804389,2116,0.13705103969754254,0.1499574296215866,0.5596403067971436
runs_n_poses,rank_confidence_structure,0.15,2,0.5015006569689121,2220,0.1373873873873874,0.14998563144479382,0.5869910100475939
runs_n_poses,rank_confidence_structure,0.15,3,0.5056272607496455,2195,0.13712984054669705,0.14979371365859803,0.5803807509254363
runs_n_poses,rank_confidence_structure,0.15,4,0.4465504980488498,2160,0.13703703703703704,0.14980455565535683,0.5711263881544156
runs_n_poses,rank_confidence_structure,0.2,0,0.6451435638737956,2504,0.18650159744408945,0.19977432216531857,0.6622586617297012
runs_n_poses,rank_confidence_structure,0.2,1,0.6555397967852141,2530,0.1865612648221344,0.19976471739742913,0.6691351494313673
runs_n_poses,rank_confidence_structure,0.2,2,0.6890617764322221,2621,0.18695154521175125,0.19992548908686508,0.6930195663670016
runs_n_poses,rank_confidence_structure,0.2,3,0.6899183483234349,2602,0.18677940046118371,0.19979796071284095,0.6879957694341619
runs_n_poses,rank_confidence_structure,0.2,4,0.6578247748709587,2584,0.18691950464396284,0.19998842867843739,0.6832363828662084
runs_n_poses,rank_confidence_structure,0.25,0,0.7715621550461328,2844,0.23628691983122363,0.24976298514688847,0.752181962443798
runs_n_poses,rank_confidence_structure,0.25,1,0.7813584708785194,2859,0.23644630989856594,0.24988891734875626,0.7561491668870669
runs_n_poses,rank_confidence_structure,0.25,2,0.8050530348088133,2958,0.23664638269100743,0.24985956399340487,0.7821258593336858
runs_n_poses,rank_confidence_structure,0.25,3,0.8124557104221308,2958,0.23664638269100743,0.24985956399340487,0.7821258593336858
runs_n_poses,rank_confidence_structure,0.25,4,0.7859372978425766,2922,0.23648186173853525,0.24977542768433197,0.772607086197779
runs_n_poses,rank_confidence_structure,0.3,0,0.8682036800647054,3174,0.28638941398865786,0.29988816111567973,0.8394604601957154
runs_n_poses,rank_confidence_structure,0.3,1,0.8783702515648313,3194,0.2864746399499061,0.2999312378128518,0.8447500661200741
runs_n_poses,rank_confidence_structure,0.3,2,0.8954293333262991,3282,0.28671541742839735,0.2999895362539505,0.8677948175568482
runs_n_poses,rank_confidence_structure,0.3,3,0.8938592307721965,3274,0.28649969456322544,0.2997875923990519,0.8656795346377578
runs_n_poses,rank_confidence_structure,0.3,4,0.8823008107761043,3253,0.28650476483246234,0.2998364851937676,0.8601269169751454
runs_n_poses,rank_confidence_structure,0.35,0,0.9371783639154668,3469,0.33640818679734796,0.34984606632651777,0.9174821475800052
runs_n_poses,rank_confidence_structure,0.35,1,0.9443653068828036,3492,0.336483390607102,0.3498768287329856,0.9235651943930178
runs_n_poses,rank_confidence_structure,0.35,2,0.9560289950057174,3580,0.3365921787709497,0.34981802757314895,0.9465891062929667
runs_n_poses,rank_confidence_structure,0.35,3,0.9555766708218514,3574,0.3365976496922216,0.34983484012163585,0.9450026441036489
runs_n_poses,rank_confidence_structure,0.35,4,0.9478726608645006,3552,0.3367117117117117,0.34999157485506754,0.9391856160761501
runs_n_poses,rank_confidence_structure_memory,0.1,0,0.2786658231556426,1867,0.08837707552222818,0.09993630271856235,0.4937847130388786
runs_n_poses,rank_confidence_structure_memory,0.1,1,0.3118030643085761,1945,0.0884318766066838,0.09974460292273651,0.5144141761438773
runs_n_poses,rank_confidence_structure_memory,0.1,2,0.2989035094149782,1958,0.08835546475995915,0.09962411036985815,0.5177154944473823
runs_n_poses,rank_confidence_structure_memory,0.1,3,0.3570334413772678,1998,0.08858858858858859,0.09974871524760065,0.5282919090428345
runs_n_poses,rank_confidence_structure_memory,0.1,4,0.2649892973170331,1898,0.08851422550052687,0.09997974200488109,0.5018508725542041
runs_n_poses,rank_confidence_structure_memory,0.15,0,0.5412441872972465,2306,0.13746747614917607,0.149820559514816,0.6098915630785506
runs_n_poses,rank_confidence_structure_memory,0.15,1,0.5724651352520489,2332,0.13765008576329332,0.1499373419340697,0.6167680507802169
runs_n_poses,rank_confidence_structure_memory,0.15,2,0.5784308545413053,2382,0.1376994122586062,0.14985290950995622,0.629825489159175
runs_n_poses,rank_confidence_structure_memory,0.15,3,0.6258517983194077,2418,0.13771712158808933,0.14977636913485287,0.639344262295082
runs_n_poses,rank_confidence_structure_memory,0.15,4,0.5579650438189091,2397,0.1376720901126408,0.1497848584716706,0.6337916446324696
runs_n_poses,rank_confidence_structure_memory,0.2,0,0.7460388181634479,2622,0.18688024408848208,0.1998498501256488,0.6934673366834171
runs_n_poses,rank_confidence_structure_memory,0.2,1,0.7588825746581165,2659,0.18691237307258368,0.19978910816589496,0.7032531076434806
runs_n_poses,rank_confidence_structure_memory,0.2,2,0.7812118312520203,2715,0.1871086556169429,0.19985216610074835,0.7178741406663142
runs_n_poses,rank_confidence_structure_memory,0.2,3,0.8028103797500057,2745,0.1872495446265938,0.19992429556799182,0.7258064516129032
runs_n_poses,rank_confidence_structure_memory,0.2,4,0.7566331583361101,2727,0.18701870187018702,0.19973099077720413,0.7210470650449498
runs_n_poses,rank_confidence_structure_memory,0.25,0,0.8566666262803105,2896,0.23653314917127072,0.2498888227294847,0.7659349378471304
runs_n_poses,rank_confidence_structure_memory,0.25,1,0.8674865562853027,2934,0.2365371506475801,0.249803760572443,0.7759851891034117
runs_n_poses,rank_confidence_structure_memory,0.25,2,0.8799712693865761,3008,0.23670212765957446,0.24980305754395687,0.7953463775780011
runs_n_poses,rank_confidence_structure_memory,0.25,3,0.8930715147275978,3023,0.2368508104531922,0.2499209676100572,0.7993125330512956
runs_n_poses,rank_confidence_structure_memory,0.25,4,0.8680054540259448,3020,0.2367549668874172,0.2498300830923678,0.7985193019566367
