selector,method,memory_bin,n,success,median_rmsd,pb_valid_all,mean_memory_score,official_success,delta_vs_official
nested_pair_rank_structure_antimemory_low_success,af3,high,300,0.93,0.33224132657051086,0.8,0.9572682121790035,0.8885714285714286,0.04142857142857148
nested_pair_rank_structure_antimemory_low_success,af3,low,97,0.20618556701030927,7.197169780731201,0.3917525773195876,0.2685289496570315,0.13825757575757575,0.06792799125273352
nested_pair_rank_structure_antimemory_low_success,af3_no_template,high,300,0.92,0.3469553589820862,0.75,0.9575537143879607,0.8885714285714286,0.03142857142857147
nested_pair_rank_structure_antimemory_low_success,af3_no_template,mid,300,0.5366666666666666,1.7465534210205078,0.6733333333333333,0.5040428889103516,0.48261076703191996,0.05405589963474666
nested_pair_rank_structure_antimemory_low_success,af3_no_template,low,97,0.1958762886597938,7.625801086425781,0.31958762886597936,0.26852894965703145,0.13825757575757575,0.05761871290221807
nested_pair_rank_structure_antimemory_low_success,boltz,mid,300,0.49333333333333335,2.041030168533325,0.5466666666666666,0.5055635582461321,0.48261076703191996,0.010722566301413383
nested_pair_rank_structure_antimemory_low_success,boltz,high,300,0.8466666666666667,0.5935752093791962,0.6,0.9464044066293127,0.8885714285714286,-0.04190476190476189
nested_pair_rank_structure_antimemory_low_success,boltz,low,70,0.08571428571428572,7.857880353927612,0.2714285714285714,0.26989991338778635,0.13825757575757575,-0.05254329004329003
nested_pair_rank_structure_antimemory_low_success,boltz1x,high,300,0.8466666666666667,0.5503106117248535,0.9333333333333333,0.9452008001052491,0.8885714285714286,-0.04190476190476189
nested_pair_rank_structure_antimemory_low_success,boltz1x,mid,300,0.5066666666666667,1.9689433574676514,0.93,0.5059693592494448,0.48261076703191996,0.024055899634746747
nested_pair_rank_structure_antimemory_low_success,boltz1x,low,66,0.06060606060606061,7.1792778968811035,0.8333333333333334,0.27202637287612225,0.13825757575757575,-0.07765151515151514
nested_pair_rank_structure_antimemory_low_success,boltz2,mid,299,0.5451505016722408,1.718833088874817,1.0,0.549797860716944,0.48261076703191996,0.06253973464032081
nested_pair_rank_structure_antimemory_low_success,boltz2,high,300,0.9133333333333333,0.43619489669799805,1.0,0.8616660759639484,0.8885714285714286,0.024761904761904763
nested_pair_rank_structure_antimemory_low_success,boltz2,low,31,0.0967741935483871,9.546725273132324,1.0,0.2627922006812176,0.13825757575757575,-0.04148338220918865
nested_pair_rank_structure_antimemory_low_success,chai,mid,300,0.41,2.578707695007324,0.6433333333333333,0.504602420381713,0.48261076703191996,-0.07261076703191999
nested_pair_rank_structure_antimemory_low_success,chai,high,300,0.87,0.4435358196496963,0.8366666666666667,0.9524094216639715,0.8885714285714286,-0.018571428571428572
nested_pair_rank_structure_antimemory_low_success,chai,low,80,0.2125,9.581171989440918,0.5125,0.26674635697012333,0.13825757575757575,0.07424242424242425
nested_pair_rank_structure_antimemory_low_success,protenix,mid,300,0.4,2.76643705368042,0.6466666666666666,0.5045459862552211,0.48261076703191996,-0.08261076703191994
nested_pair_rank_structure_antimemory_low_success,protenix,high,300,0.9166666666666666,0.4440109133720398,0.74,0.9543330116269506,0.8885714285714286,0.028095238095238062
nested_pair_rank_structure_antimemory_low_success,protenix,low,87,0.12643678160919541,12.757115364074709,0.47126436781609193,0.2653680882638497,0.13825757575757575,-0.011820794148380331
