dataset,mol_id,strategy,generator_group,k,n_candidates,baseline_method,baseline_success,baseline_rmsd,selector_method,selector_success,selector_rmsd,oracle_method,oracle_success,oracle_rmsd
astex_diverse,1GPK_HUP,same_generator,Chai,8,7,public_chai_relaxedFalse_rep1,False,8.57493160508368,Chai-1 full receptor s5/t200,False,4.5069043679441165,Chai-1 full receptor s5/t200,False,4.5069043679441165
astex_diverse,1GPK_HUP,same_generator,DiffDock,8,7,DiffDock-L default s10/t20,True,0.369399857877612,public_diffdock_relaxedFalse_rep1,True,0.4410124639206176,DiffDock-L default s10/t20,True,0.369399857877612
astex_diverse,1GPK_HUP,same_generator,NeuralPlexer,8,6,public_neuralplexer_relaxedTrue_rep3,False,3.5862582222515256,public_neuralplexer_relaxedTrue_rep3,False,3.5862582222515256,public_neuralplexer_relaxedTrue_rep3,False,3.5862582222515256
astex_diverse,1GPK_HUP,same_generator,DynamicBind,8,2,public_dynamicbind_relaxedFalse_rep-1,True,0.4048937048439032,public_dynamicbind_relaxedFalse_rep-1,True,0.4048937048439032,public_dynamicbind_relaxedFalse_rep-1,True,0.4048937048439032
astex_diverse,1GPK_HUP,same_generator,RFAA,8,2,public_rfaa_relaxedFalse_rep1,False,,public_rfaa_relaxedFalse_rep1,False,,public_rfaa_relaxedFalse_rep1,False,
astex_diverse,1GPK_HUP,cross_generator_balanced,,16,16,public_boltz_ss_relaxedFalse_rep1,False,4.189439138145132,public_diffdock_relaxedFalse_rep2,True,0.4458089756586095,DiffDock-L default s10/t20,True,0.369399857877612
astex_diverse,1GPK_HUP,same_generator,Boltz,16,14,public_boltz_ss_relaxedFalse_rep1,False,4.189439138145132,public_boltz_relaxedFalse_rep1,False,4.449748342696847,Boltz-2 full receptor r1/s20,False,3.833897712422905
astex_diverse,1GPK_HUP,same_generator,Chai,16,7,public_chai_relaxedFalse_rep1,False,8.57493160508368,Chai-1 full receptor s5/t200,False,4.5069043679441165,Chai-1 full receptor s5/t200,False,4.5069043679441165
astex_diverse,1GPK_HUP,same_generator,DiffDock,16,7,DiffDock-L default s10/t20,True,0.369399857877612,public_diffdock_relaxedFalse_rep1,True,0.4410124639206176,DiffDock-L default s10/t20,True,0.369399857877612
astex_diverse,1GPK_HUP,same_generator,NeuralPlexer,16,6,public_neuralplexer_relaxedTrue_rep3,False,3.5862582222515256,public_neuralplexer_relaxedTrue_rep3,False,3.5862582222515256,public_neuralplexer_relaxedTrue_rep3,False,3.5862582222515256
astex_diverse,1GPK_HUP,same_generator,DynamicBind,16,2,public_dynamicbind_relaxedFalse_rep-1,True,0.4048937048439032,public_dynamicbind_relaxedFalse_rep-1,True,0.4048937048439032,public_dynamicbind_relaxedFalse_rep-1,True,0.4048937048439032
astex_diverse,1GPK_HUP,same_generator,RFAA,16,2,public_rfaa_relaxedFalse_rep1,False,,public_rfaa_relaxedFalse_rep1,False,,public_rfaa_relaxedFalse_rep1,False,
astex_diverse,1GPK_HUP,cross_generator_balanced,,32,32,public_boltz_ss_relaxedFalse_rep1,False,4.189439138145132,public_diffdock_relaxedFalse_rep1,True,0.4410124639206176,DiffDock-L default s10/t20,True,0.369399857877612
astex_diverse,1GPK_HUP,same_generator,Boltz,32,14,public_boltz_ss_relaxedFalse_rep1,False,4.189439138145132,public_boltz_relaxedFalse_rep1,False,4.449748342696847,Boltz-2 full receptor r1/s20,False,3.833897712422905
astex_diverse,1GPK_HUP,same_generator,Chai,32,7,public_chai_relaxedFalse_rep1,False,8.57493160508368,Chai-1 full receptor s5/t200,False,4.5069043679441165,Chai-1 full receptor s5/t200,False,4.5069043679441165
astex_diverse,1GPK_HUP,same_generator,DiffDock,32,7,DiffDock-L default s10/t20,True,0.369399857877612,public_diffdock_relaxedFalse_rep1,True,0.4410124639206176,DiffDock-L default s10/t20,True,0.369399857877612
astex_diverse,1GPK_HUP,same_generator,NeuralPlexer,32,6,public_neuralplexer_relaxedTrue_rep3,False,3.5862582222515256,public_neuralplexer_relaxedTrue_rep3,False,3.5862582222515256,public_neuralplexer_relaxedTrue_rep3,False,3.5862582222515256
astex_diverse,1GPK_HUP,same_generator,DynamicBind,32,2,public_dynamicbind_relaxedFalse_rep-1,True,0.4048937048439032,public_dynamicbind_relaxedFalse_rep-1,True,0.4048937048439032,public_dynamicbind_relaxedFalse_rep-1,True,0.4048937048439032
astex_diverse,1GPK_HUP,same_generator,RFAA,32,2,public_rfaa_relaxedFalse_rep1,False,,public_rfaa_relaxedFalse_rep1,False,,public_rfaa_relaxedFalse_rep1,False,
astex_diverse,1HNN_SKF,cross_generator_balanced,,1,1,public_boltz_relaxedFalse_rep1,False,45.71918603772537,public_boltz_relaxedFalse_rep1,False,45.71918603772537,public_boltz_relaxedFalse_rep1,False,45.71918603772537
astex_diverse,1HNN_SKF,same_generator,Boltz,1,1,public_boltz_relaxedFalse_rep1,False,45.71918603772537,public_boltz_relaxedFalse_rep1,False,45.71918603772537,public_boltz_relaxedFalse_rep1,False,45.71918603772537
astex_diverse,1HNN_SKF,same_generator,Chai,1,1,public_chai_relaxedFalse_rep3,False,45.922618818524725,public_chai_relaxedFalse_rep3,False,45.922618818524725,public_chai_relaxedFalse_rep3,False,45.922618818524725
astex_diverse,1HNN_SKF,same_generator,DiffDock,1,1,DiffDock-L default s10/t20,True,0.4611847886538691,DiffDock-L default s10/t20,True,0.4611847886538691,DiffDock-L default s10/t20,True,0.4611847886538691
astex_diverse,1HNN_SKF,same_generator,NeuralPlexer,1,1,public_neuralplexer_relaxedTrue_rep3,False,44.81426534582965,public_neuralplexer_relaxedTrue_rep3,False,44.81426534582965,public_neuralplexer_relaxedTrue_rep3,False,44.81426534582965
astex_diverse,1HNN_SKF,same_generator,DynamicBind,1,1,public_dynamicbind_relaxedFalse_rep-1,False,45.35074928144596,public_dynamicbind_relaxedFalse_rep-1,False,45.35074928144596,public_dynamicbind_relaxedFalse_rep-1,False,45.35074928144596
astex_diverse,1HNN_SKF,same_generator,RFAA,1,1,public_rfaa_relaxedFalse_rep1,True,1.2312065534031482,public_rfaa_relaxedFalse_rep1,True,1.2312065534031482,public_rfaa_relaxedFalse_rep1,True,1.2312065534031482
astex_diverse,1HNN_SKF,cross_generator_balanced,,2,2,public_boltz_relaxedFalse_rep1,False,45.71918603772537,DiffDock-L default s10/t20,True,0.4611847886538691,DiffDock-L default s10/t20,True,0.4611847886538691
astex_diverse,1HNN_SKF,same_generator,Boltz,2,2,public_boltz_relaxedFalse_rep1,False,45.71918603772537,public_boltz_relaxedFalse_rep1,False,45.71918603772537,public_boltz_relaxedFalse_rep1,False,45.71918603772537
astex_diverse,1HNN_SKF,same_generator,Chai,2,2,public_chai_relaxedFalse_rep3,False,45.922618818524725,public_chai_relaxedFalse_rep3,False,45.922618818524725,public_chai_relaxedFalse_rep1,False,45.807873926781305
astex_diverse,1HNN_SKF,same_generator,DiffDock,2,2,DiffDock-L default s10/t20,True,0.4611847886538691,DiffDock-L default s10/t20,True,0.4611847886538691,DiffDock-L default s10/t20,True,0.4611847886538691
astex_diverse,1HNN_SKF,same_generator,NeuralPlexer,2,2,public_neuralplexer_relaxedTrue_rep3,False,44.81426534582965,public_neuralplexer_relaxedTrue_rep3,False,44.81426534582965,public_neuralplexer_relaxedFalse_rep2,False,44.722096481317664
astex_diverse,1HNN_SKF,same_generator,DynamicBind,2,2,public_dynamicbind_relaxedFalse_rep-1,False,45.35074928144596,public_dynamicbind_relaxedFalse_rep-1,False,45.35074928144596,public_dynamicbind_relaxedTrue_rep-1,False,45.33833299207983
astex_diverse,1HNN_SKF,same_generator,RFAA,2,2,public_rfaa_relaxedFalse_rep1,True,1.2312065534031482,public_rfaa_relaxedFalse_rep1,True,1.2312065534031482,public_rfaa_relaxedFalse_rep1,True,1.2312065534031482
astex_diverse,1HNN_SKF,cross_generator_balanced,,4,4,public_boltz_relaxedFalse_rep1,False,45.71918603772537,DiffDock-L default s10/t20,True,0.4611847886538691,DiffDock-L default s10/t20,True,0.4611847886538691
astex_diverse,1HNN_SKF,same_generator,Boltz,4,4,public_boltz_relaxedFalse_rep1,False,45.71918603772537,public_boltz_relaxedFalse_rep1,False,45.71918603772537,public_boltz_relaxedFalse_rep3,False,43.99081165377444
astex_diverse,1HNN_SKF,same_generator,Chai,4,4,public_chai_relaxedFalse_rep3,False,45.922618818524725,Chai-1 full receptor s5/t200,False,45.7275376688583,Chai-1 full receptor s5/t200,False,45.7275376688583
astex_diverse,1HNN_SKF,same_generator,DiffDock,4,4,DiffDock-L default s10/t20,True,0.4611847886538691,DiffDock-L default s10/t20,True,0.4611847886538691,DiffDock-L default s10/t20,True,0.4611847886538691
astex_diverse,1HNN_SKF,same_generator,NeuralPlexer,4,4,public_neuralplexer_relaxedTrue_rep3,False,44.81426534582965,public_neuralplexer_relaxedTrue_rep3,False,44.81426534582965,public_neuralplexer_relaxedTrue_rep2,False,43.248850937337046
astex_diverse,1HNN_SKF,same_generator,DynamicBind,4,2,public_dynamicbind_relaxedFalse_rep-1,False,45.35074928144596,public_dynamicbind_relaxedFalse_rep-1,False,45.35074928144596,public_dynamicbind_relaxedTrue_rep-1,False,45.33833299207983
astex_diverse,1HNN_SKF,same_generator,RFAA,4,2,public_rfaa_relaxedFalse_rep1,True,1.2312065534031482,public_rfaa_relaxedFalse_rep1,True,1.2312065534031482,public_rfaa_relaxedFalse_rep1,True,1.2312065534031482
astex_diverse,1HNN_SKF,cross_generator_balanced,,8,8,public_boltz_relaxedFalse_rep1,False,45.71918603772537,public_vina_relaxedFalse_rep3,True,1.1410671070787837,DiffDock-L default s10/t20,True,0.4611847886538691
astex_diverse,1HNN_SKF,same_generator,Boltz,8,8,public_boltz_relaxedFalse_rep1,False,45.71918603772537,public_boltz_relaxedFalse_rep1,False,45.71918603772537,public_boltz_ss_relaxedFalse_rep1,False,38.68424561580039
astex_diverse,1HNN_SKF,same_generator,Chai,8,7,public_chai_relaxedFalse_rep3,False,45.922618818524725,Chai-1 full receptor s5/t200,False,45.7275376688583,Chai-1 full receptor s5/t200,False,45.7275376688583
astex_diverse,1HNN_SKF,same_generator,DiffDock,8,7,DiffDock-L default s10/t20,True,0.4611847886538691,DiffDock-L default s10/t20,True,0.4611847886538691,DiffDock-L default s10/t20,True,0.4611847886538691
astex_diverse,1HNN_SKF,same_generator,NeuralPlexer,8,6,public_neuralplexer_relaxedTrue_rep3,False,44.81426534582965,public_neuralplexer_relaxedTrue_rep3,False,44.81426534582965,public_neuralplexer_relaxedTrue_rep1,False,3.605194097211887
astex_diverse,1HNN_SKF,same_generator,DynamicBind,8,2,public_dynamicbind_relaxedFalse_rep-1,False,45.35074928144596,public_dynamicbind_relaxedFalse_rep-1,False,45.35074928144596,public_dynamicbind_relaxedTrue_rep-1,False,45.33833299207983
astex_diverse,1HNN_SKF,same_generator,RFAA,8,2,public_rfaa_relaxedFalse_rep1,True,1.2312065534031482,public_rfaa_relaxedFalse_rep1,True,1.2312065534031482,public_rfaa_relaxedFalse_rep1,True,1.2312065534031482
astex_diverse,1HNN_SKF,cross_generator_balanced,,16,16,public_boltz_relaxedFalse_rep1,False,45.71918603772537,public_vina_relaxedFalse_rep3,True,1.1410671070787837,DiffDock-L default s10/t20,True,0.4611847886538691
astex_diverse,1HNN_SKF,same_generator,Boltz,16,14,public_boltz_relaxedFalse_rep1,False,45.71918603772537,Boltz-2 full receptor r1/s20,False,33.321233685931354,Boltz-1 full receptor r1/s20,False,16.830455140226917
astex_diverse,1HNN_SKF,same_generator,Chai,16,7,public_chai_relaxedFalse_rep3,False,45.922618818524725,Chai-1 full receptor s5/t200,False,45.7275376688583,Chai-1 full receptor s5/t200,False,45.7275376688583
astex_diverse,1HNN_SKF,same_generator,DiffDock,16,7,DiffDock-L default s10/t20,True,0.4611847886538691,DiffDock-L default s10/t20,True,0.4611847886538691,DiffDock-L default s10/t20,True,0.4611847886538691
astex_diverse,1HNN_SKF,same_generator,NeuralPlexer,16,6,public_neuralplexer_relaxedTrue_rep3,False,44.81426534582965,public_neuralplexer_relaxedTrue_rep3,False,44.81426534582965,public_neuralplexer_relaxedTrue_rep1,False,3.605194097211887
astex_diverse,1HNN_SKF,same_generator,DynamicBind,16,2,public_dynamicbind_relaxedFalse_rep-1,False,45.35074928144596,public_dynamicbind_relaxedFalse_rep-1,False,45.35074928144596,public_dynamicbind_relaxedTrue_rep-1,False,45.33833299207983
astex_diverse,1HNN_SKF,same_generator,RFAA,16,2,public_rfaa_relaxedFalse_rep1,True,1.2312065534031482,public_rfaa_relaxedFalse_rep1,True,1.2312065534031482,public_rfaa_relaxedFalse_rep1,True,1.2312065534031482
astex_diverse,1HNN_SKF,cross_generator_balanced,,32,32,public_boltz_relaxedFalse_rep1,False,45.71918603772537,public_vina_relaxedFalse_rep2,True,1.1058418254240272,DiffDock-L default s10/t20,True,0.4611847886538691
astex_diverse,1HNN_SKF,same_generator,Boltz,32,14,public_boltz_relaxedFalse_rep1,False,45.71918603772537,Boltz-2 full receptor r1/s20,False,33.321233685931354,Boltz-1 full receptor r1/s20,False,16.830455140226917
astex_diverse,1HNN_SKF,same_generator,Chai,32,7,public_chai_relaxedFalse_rep3,False,45.922618818524725,Chai-1 full receptor s5/t200,False,45.7275376688583,Chai-1 full receptor s5/t200,False,45.7275376688583
astex_diverse,1HNN_SKF,same_generator,DiffDock,32,7,DiffDock-L default s10/t20,True,0.4611847886538691,DiffDock-L default s10/t20,True,0.4611847886538691,DiffDock-L default s10/t20,True,0.4611847886538691
astex_diverse,1HNN_SKF,same_generator,NeuralPlexer,32,6,public_neuralplexer_relaxedTrue_rep3,False,44.81426534582965,public_neuralplexer_relaxedTrue_rep3,False,44.81426534582965,public_neuralplexer_relaxedTrue_rep1,False,3.605194097211887
astex_diverse,1HNN_SKF,same_generator,DynamicBind,32,2,public_dynamicbind_relaxedFalse_rep-1,False,45.35074928144596,public_dynamicbind_relaxedFalse_rep-1,False,45.35074928144596,public_dynamicbind_relaxedTrue_rep-1,False,45.33833299207983
astex_diverse,1HNN_SKF,same_generator,RFAA,32,2,public_rfaa_relaxedFalse_rep1,True,1.2312065534031482,public_rfaa_relaxedFalse_rep1,True,1.2312065534031482,public_rfaa_relaxedFalse_rep1,True,1.2312065534031482
astex_diverse,1HP0_AD3,cross_generator_balanced,,1,1,public_boltz_relaxedFalse_rep1,False,27.37737272756848,public_boltz_relaxedFalse_rep1,False,27.37737272756848,public_boltz_relaxedFalse_rep1,False,27.37737272756848
astex_diverse,1HP0_AD3,same_generator,Boltz,1,1,public_boltz_relaxedFalse_rep1,False,27.37737272756848,public_boltz_relaxedFalse_rep1,False,27.37737272756848,public_boltz_relaxedFalse_rep1,False,27.37737272756848
astex_diverse,1HP0_AD3,same_generator,Chai,1,1,public_chai_relaxedFalse_rep3,False,26.989695031959407,public_chai_relaxedFalse_rep3,False,26.989695031959407,public_chai_relaxedFalse_rep3,False,26.989695031959407
astex_diverse,1HP0_AD3,same_generator,DiffDock,1,1,public_diffdock_relaxedFalse_rep1,True,0.4142212414182848,public_diffdock_relaxedFalse_rep1,True,0.4142212414182848,public_diffdock_relaxedFalse_rep1,True,0.4142212414182848
astex_diverse,1HP0_AD3,same_generator,NeuralPlexer,1,1,public_neuralplexer_relaxedTrue_rep3,False,2.3363261294515145,public_neuralplexer_relaxedTrue_rep3,False,2.3363261294515145,public_neuralplexer_relaxedTrue_rep3,False,2.3363261294515145
astex_diverse,1HP0_AD3,same_generator,DynamicBind,1,1,public_dynamicbind_relaxedFalse_rep-1,False,26.866085589103832,public_dynamicbind_relaxedFalse_rep-1,False,26.866085589103832,public_dynamicbind_relaxedFalse_rep-1,False,26.866085589103832
astex_diverse,1HP0_AD3,same_generator,RFAA,1,1,public_rfaa_relaxedFalse_rep1,False,4.59051452029646,public_rfaa_relaxedFalse_rep1,False,4.59051452029646,public_rfaa_relaxedFalse_rep1,False,4.59051452029646
astex_diverse,1HP0_AD3,cross_generator_balanced,,2,2,public_boltz_relaxedFalse_rep1,False,27.37737272756848,public_boltz_relaxedFalse_rep1,False,27.37737272756848,public_chai_relaxedFalse_rep3,False,26.989695031959407
astex_diverse,1HP0_AD3,same_generator,Boltz,2,2,public_boltz_relaxedFalse_rep1,False,27.37737272756848,public_boltz_relaxedFalse_rep1,False,27.37737272756848,public_boltz_relaxedFalse_rep1,False,27.37737272756848
astex_diverse,1HP0_AD3,same_generator,Chai,2,2,public_chai_relaxedFalse_rep3,False,26.989695031959407,public_chai_relaxedFalse_rep3,False,26.989695031959407,public_chai_relaxedFalse_rep2,False,26.901086350398312
astex_diverse,1HP0_AD3,same_generator,DiffDock,2,2,public_diffdock_relaxedFalse_rep1,True,0.4142212414182848,public_diffdock_relaxedFalse_rep1,True,0.4142212414182848,public_diffdock_relaxedFalse_rep1,True,0.4142212414182848
astex_diverse,1HP0_AD3,same_generator,NeuralPlexer,2,2,public_neuralplexer_relaxedTrue_rep3,False,2.3363261294515145,public_neuralplexer_relaxedTrue_rep1,False,2.214154571459677,public_neuralplexer_relaxedTrue_rep1,False,2.214154571459677
astex_diverse,1HP0_AD3,same_generator,DynamicBind,2,2,public_dynamicbind_relaxedFalse_rep-1,False,26.866085589103832,public_dynamicbind_relaxedTrue_rep-1,False,27.058263737924,public_dynamicbind_relaxedFalse_rep-1,False,26.866085589103832
astex_diverse,1HP0_AD3,same_generator,RFAA,2,2,public_rfaa_relaxedFalse_rep1,False,4.59051452029646,public_rfaa_relaxedTrue_rep1,False,2.6773119898608444,public_rfaa_relaxedTrue_rep1,False,2.6773119898608444
astex_diverse,1HP0_AD3,cross_generator_balanced,,4,4,public_boltz_relaxedFalse_rep1,False,27.37737272756848,public_diffdock_relaxedFalse_rep1,True,0.4142212414182848,public_diffdock_relaxedFalse_rep1,True,0.4142212414182848
astex_diverse,1HP0_AD3,same_generator,Boltz,4,4,public_boltz_relaxedFalse_rep1,False,27.37737272756848,public_boltz_relaxedFalse_rep1,False,27.37737272756848,public_boltz_relaxedFalse_rep1,False,27.37737272756848
astex_diverse,1HP0_AD3,same_generator,Chai,4,4,public_chai_relaxedFalse_rep3,False,26.989695031959407,public_chai_relaxedFalse_rep3,False,26.989695031959407,public_chai_relaxedFalse_rep1,False,26.66507630816081
astex_diverse,1HP0_AD3,same_generator,DiffDock,4,4,public_diffdock_relaxedFalse_rep1,True,0.4142212414182848,public_diffdock_relaxedFalse_rep2,True,1.9614138679990367,public_diffdock_relaxedFalse_rep1,True,0.4142212414182848
astex_diverse,1HP0_AD3,same_generator,NeuralPlexer,4,4,public_neuralplexer_relaxedTrue_rep3,False,2.3363261294515145,public_neuralplexer_relaxedTrue_rep1,False,2.214154571459677,public_neuralplexer_relaxedTrue_rep1,False,2.214154571459677
astex_diverse,1HP0_AD3,same_generator,DynamicBind,4,2,public_dynamicbind_relaxedFalse_rep-1,False,26.866085589103832,public_dynamicbind_relaxedTrue_rep-1,False,27.058263737924,public_dynamicbind_relaxedFalse_rep-1,False,26.866085589103832
astex_diverse,1HP0_AD3,same_generator,RFAA,4,2,public_rfaa_relaxedFalse_rep1,False,4.59051452029646,public_rfaa_relaxedTrue_rep1,False,2.6773119898608444,public_rfaa_relaxedTrue_rep1,False,2.6773119898608444
astex_diverse,1HP0_AD3,cross_generator_balanced,,8,8,public_boltz_relaxedFalse_rep1,False,27.37737272756848,public_diffdock_relaxedFalse_rep1,True,0.4142212414182848,public_diffdock_relaxedFalse_rep1,True,0.4142212414182848
astex_diverse,1HP0_AD3,same_generator,Boltz,8,8,public_boltz_relaxedFalse_rep1,False,27.37737272756848,public_boltz_ss_relaxedFalse_rep3,False,2.021703508118053,public_boltz_ss_relaxedTrue_rep3,False,2.021703508118053
astex_diverse,1HP0_AD3,same_generator,Chai,8,7,public_chai_relaxedFalse_rep3,False,26.989695031959407,Chai-1 full receptor s5/t200,False,26.07575740992424,Chai-1 full receptor s5/t200,False,26.07575740992424
astex_diverse,1HP0_AD3,same_generator,DiffDock,8,7,public_diffdock_relaxedFalse_rep1,True,0.4142212414182848,public_diffdock_relaxedFalse_rep3,True,1.9605294628586536,public_diffdock_relaxedFalse_rep1,True,0.4142212414182848
astex_diverse,1HP0_AD3,same_generator,NeuralPlexer,8,6,public_neuralplexer_relaxedTrue_rep3,False,2.3363261294515145,public_neuralplexer_relaxedTrue_rep1,False,2.214154571459677,public_neuralplexer_relaxedTrue_rep1,False,2.214154571459677
astex_diverse,1HP0_AD3,same_generator,DynamicBind,8,2,public_dynamicbind_relaxedFalse_rep-1,False,26.866085589103832,public_dynamicbind_relaxedTrue_rep-1,False,27.058263737924,public_dynamicbind_relaxedFalse_rep-1,False,26.866085589103832
astex_diverse,1HP0_AD3,same_generator,RFAA,8,2,public_rfaa_relaxedFalse_rep1,False,4.59051452029646,public_rfaa_relaxedTrue_rep1,False,2.6773119898608444,public_rfaa_relaxedTrue_rep1,False,2.6773119898608444
astex_diverse,1HP0_AD3,cross_generator_balanced,,16,16,public_boltz_relaxedFalse_rep1,False,27.37737272756848,public_diffdock_relaxedFalse_rep1,True,0.4142212414182848,public_diffdock_relaxedFalse_rep1,True,0.4142212414182848
astex_diverse,1HP0_AD3,same_generator,Boltz,16,14,public_boltz_relaxedFalse_rep1,False,27.37737272756848,public_boltz_ss_relaxedFalse_rep3,False,2.021703508118053,public_boltz_relaxedTrue_rep2,True,0.5546562325583202
astex_diverse,1HP0_AD3,same_generator,Chai,16,7,public_chai_relaxedFalse_rep3,False,26.989695031959407,Chai-1 full receptor s5/t200,False,26.07575740992424,Chai-1 full receptor s5/t200,False,26.07575740992424
astex_diverse,1HP0_AD3,same_generator,DiffDock,16,7,public_diffdock_relaxedFalse_rep1,True,0.4142212414182848,public_diffdock_relaxedFalse_rep3,True,1.9605294628586536,public_diffdock_relaxedFalse_rep1,True,0.4142212414182848
astex_diverse,1HP0_AD3,same_generator,NeuralPlexer,16,6,public_neuralplexer_relaxedTrue_rep3,False,2.3363261294515145,public_neuralplexer_relaxedTrue_rep1,False,2.214154571459677,public_neuralplexer_relaxedTrue_rep1,False,2.214154571459677
astex_diverse,1HP0_AD3,same_generator,DynamicBind,16,2,public_dynamicbind_relaxedFalse_rep-1,False,26.866085589103832,public_dynamicbind_relaxedTrue_rep-1,False,27.058263737924,public_dynamicbind_relaxedFalse_rep-1,False,26.866085589103832
