analysis,strategy,generator_group,k,n_cases,mean_candidates_available,empty_case_rate,baseline_success,selector_success,oracle_success,headroom_oracle_minus_baseline,selector_recovered_headroom,baseline_median_rmsd,selector_median_rmsd,oracle_median_rmsd,rescued_vs_baseline,harmed_vs_baseline
candidate_diversity_vs_depth,same_generator,Chai,16,702,5.017094017094017,0.0,0.36182336182336183,0.4230769230769231,0.4444444444444444,0.08262108262108259,0.7413793103448277,3.84704602429861,2.1088111097165645,2.2777952765764877,46,3
candidate_diversity_vs_depth,same_generator,Chai,32,702,5.017094017094017,0.0,0.36182336182336183,0.4230769230769231,0.4444444444444444,0.08262108262108259,0.7413793103448277,3.84704602429861,2.1088111097165645,2.2777952765764877,46,3
candidate_diversity_vs_depth,same_generator,DiffDock,1,702,1.0,0.0,0.349002849002849,0.349002849002849,0.349002849002849,0.0,,4.191232333494928,4.191232333494928,4.191232333494928,0,0
candidate_diversity_vs_depth,same_generator,DiffDock,2,702,1.5968660968660968,0.0,0.349002849002849,0.35327635327635326,0.3561253561253561,0.007122507122507116,0.5999999999999984,4.191232333494928,4.060801580784267,3.9280510079601,4,1
candidate_diversity_vs_depth,same_generator,DiffDock,4,702,2.7891737891737893,0.0,0.349002849002849,0.3974358974358974,0.4074074074074074,0.05840455840455838,0.8292682926829268,4.191232333494928,3.288473032849407,3.016517309391269,36,2
candidate_diversity_vs_depth,same_generator,DiffDock,8,702,4.544159544159545,0.0,0.349002849002849,0.4116809116809117,0.4301994301994302,0.08119658119658119,0.7719298245614038,4.191232333494928,3.0237707784970835,2.6996295349800064,47,3
candidate_diversity_vs_depth,same_generator,DiffDock,16,702,4.544159544159545,0.0,0.349002849002849,0.4116809116809117,0.4301994301994302,0.08119658119658119,0.7719298245614038,4.191232333494928,3.0237707784970835,2.6996295349800064,47,3
candidate_diversity_vs_depth,same_generator,DiffDock,32,702,4.544159544159545,0.0,0.349002849002849,0.4116809116809117,0.4301994301994302,0.08119658119658119,0.7719298245614038,4.191232333494928,3.0237707784970835,2.6996295349800064,47,3
candidate_diversity_vs_depth,same_generator,DynamicBind,1,702,0.6609686609686609,0.33903133903133903,0.1168091168091168,0.1168091168091168,0.1168091168091168,0.0,,6.306400979312489,6.306400979312489,6.306400979312489,0,0
candidate_diversity_vs_depth,same_generator,DynamicBind,2,702,1.3205128205128205,0.33903133903133903,0.1168091168091168,0.12535612535612536,0.1282051282051282,0.011396011396011388,0.7500000000000016,6.306400979312489,6.412464602353742,6.066399589406469,8,2
