profile,outer_heldout,lambda,n_cases,baseline_success,selector_success,pbsoft_success,baseline_pb_valid_all,selector_pb_valid_all,pbsoft_pb_valid_all,chosen_for_outer_fold,selection_rule
original_features,posebusters_benchmark,0.0,274,0.39416058394160586,0.5218978102189781,0.5218978102189781,0.24087591240875914,0.2116788321167883,0.2116788321167883,False,smallest ? with train PB-validity >= train budget baseline and train success >= train selector - 0.005
original_features,posebusters_benchmark,0.1,274,0.39416058394160586,0.5218978102189781,0.5182481751824818,0.24087591240875914,0.2116788321167883,0.26277372262773724,True,smallest ? with train PB-validity >= train budget baseline and train success >= train selector - 0.005
original_features,posebusters_benchmark,0.2,274,0.39416058394160586,0.5218978102189781,0.5109489051094891,0.24087591240875914,0.2116788321167883,0.28102189781021897,False,smallest ? with train PB-validity >= train budget baseline and train success >= train selector - 0.005
original_features,posebusters_benchmark,0.3,274,0.39416058394160586,0.5218978102189781,0.5109489051094891,0.24087591240875914,0.2116788321167883,0.28102189781021897,False,smallest ? with train PB-validity >= train budget baseline and train success >= train selector - 0.005
original_features,posebusters_benchmark,0.5,274,0.39416058394160586,0.5218978102189781,0.5036496350364964,0.24087591240875914,0.2116788321167883,0.2956204379562044,False,smallest ? with train PB-validity >= train budget baseline and train success >= train selector - 0.005
clean_no_reference_risk,astex_diverse,0.0,617,0.4343598055105348,0.5478119935170178,0.5478119935170178,0.3711507293354943,0.2252836304700162,0.2252836304700162,False,smallest ? with train PB-validity >= train budget baseline and train success >= train selector - 0.005
clean_no_reference_risk,astex_diverse,0.1,617,0.4343598055105348,0.5478119935170178,0.5510534846029174,0.3711507293354943,0.2252836304700162,0.3711507293354943,True,smallest ? with train PB-validity >= train budget baseline and train success >= train selector - 0.005
clean_no_reference_risk,astex_diverse,0.2,617,0.4343598055105348,0.5478119935170178,0.539708265802269,0.3711507293354943,0.2252836304700162,0.406807131280389,False,smallest ? with train PB-validity >= train budget baseline and train success >= train selector - 0.005
clean_no_reference_risk,astex_diverse,0.3,617,0.4343598055105348,0.5478119935170178,0.5251215559157212,0.3711507293354943,0.2252836304700162,0.4376012965964344,False,smallest ? with train PB-validity >= train budget baseline and train success >= train selector - 0.005
clean_no_reference_risk,astex_diverse,0.5,617,0.4343598055105348,0.5478119935170178,0.520259319286872,0.3711507293354943,0.2252836304700162,0.46353322528363045,False,smallest ? with train PB-validity >= train budget baseline and train success >= train selector - 0.005
clean_no_reference_risk,dockgen,0.0,513,0.5107212475633528,0.6393762183235867,0.6393762183235867,0.5458089668615984,0.3489278752436647,0.3489278752436647,False,smallest ? with train PB-validity >= train budget baseline and train success >= train selector - 0.005
clean_no_reference_risk,dockgen,0.1,513,0.5107212475633528,0.6393762183235867,0.6471734892787524,0.5458089668615984,0.3489278752436647,0.50682261208577,False,smallest ? with train PB-validity >= train budget baseline and train success >= train selector - 0.005
clean_no_reference_risk,dockgen,0.2,513,0.5107212475633528,0.6393762183235867,0.6471734892787524,0.5458089668615984,0.3489278752436647,0.5146198830409356,True,smallest ? with train PB-validity >= train budget baseline and train success >= train selector - 0.005
clean_no_reference_risk,dockgen,0.3,513,0.5107212475633528,0.6393762183235867,0.6432748538011696,0.5458089668615984,0.3489278752436647,0.5341130604288499,False,smallest ? with train PB-validity >= train budget baseline and train success >= train selector - 0.005
clean_no_reference_risk,dockgen,0.5,513,0.5107212475633528,0.6393762183235867,0.6296296296296297,0.5458089668615984,0.3489278752436647,0.594541910331384,False,smallest ? with train PB-validity >= train budget baseline and train success >= train selector - 0.005
clean_no_reference_risk,posebusters_benchmark,0.0,274,0.39416058394160586,0.5145985401459854,0.5145985401459854,0.24087591240875914,0.18248175182481752,0.18248175182481752,False,smallest ? with train PB-validity >= train budget baseline and train success >= train selector - 0.005
clean_no_reference_risk,posebusters_benchmark,0.1,274,0.39416058394160586,0.5145985401459854,0.5145985401459854,0.24087591240875914,0.18248175182481752,0.2591240875912409,True,smallest ? with train PB-validity >= train budget baseline and train success >= train selector - 0.005
clean_no_reference_risk,posebusters_benchmark,0.2,274,0.39416058394160586,0.5145985401459854,0.5109489051094891,0.24087591240875914,0.18248175182481752,0.27007299270072993,False,smallest ? with train PB-validity >= train budget baseline and train success >= train selector - 0.005
