similarity_bin,n_total,n_retained,coverage,failure_rate,success_rate,failure_cp_upper,benchmark,detector,target_risk
mid,2099,1066,0.5078608861362554,0.3273921200750469,0.6726078799249531,0.3518364336668569,runs_n_poses,rank_confidence,0.2
high,2100,1833,0.8728571428571429,0.07146753955264594,0.928532460447354,0.08215627157323104,runs_n_poses,rank_confidence,0.25
low,528,211,0.3996212121212121,0.7488151658767772,0.2511848341232228,0.7974381445442721,runs_n_poses,rank_confidence,0.25
mid,2099,1352,0.6441162458313483,0.3838757396449704,0.6161242603550297,0.4061733464326222,runs_n_poses,rank_confidence,0.25
high,2100,1969,0.9376190476190476,0.08735398679532758,0.9126460132046724,0.09853629450012318,runs_n_poses,rank_confidence,0.3
low,528,296,0.5606060606060606,0.7804054054054054,0.21959459459459463,0.8194442069014471,runs_n_poses,rank_confidence,0.3
mid,2099,1632,0.7775131014768938,0.4430147058823529,0.5569852941176471,0.46361072306085094,runs_n_poses,rank_confidence,0.3
high,2100,2050,0.9761904761904762,0.09951219512195122,0.9004878048780488,0.11105987017523666,runs_n_poses,rank_confidence,0.35
low,528,410,0.7765151515151515,0.8268292682926829,0.17317073170731712,0.8569573459206735,runs_n_poses,rank_confidence,0.35
mid,2099,1912,0.9109099571224393,0.48640167364016734,0.5135983263598327,0.5054707464045156,runs_n_poses,rank_confidence,0.35
high,2100,1438,0.6847619047619048,0.07858136300417246,0.9214186369958275,0.09125234230473182,runs_n_poses,reference_neighborhood_only,0.1
low,528,6,0.011363636363636364,0.8333333333333334,0.16666666666666663,0.9914875553891529,runs_n_poses,reference_neighborhood_only,0.1
mid,2099,135,0.06431634111481659,0.21481481481481482,0.7851851851851852,0.2811387165176934,runs_n_poses,reference_neighborhood_only,0.1
high,2100,1784,0.8495238095238096,0.10033632286995516,0.8996636771300448,0.11280944917342096,runs_n_poses,reference_neighborhood_only,0.15
low,528,10,0.01893939393939394,0.9,0.09999999999999998,0.9948838031081763,runs_n_poses,reference_neighborhood_only,0.15
mid,2099,368,0.17532158170557408,0.3016304347826087,0.6983695652173914,0.34344426788232013,runs_n_poses,reference_neighborhood_only,0.15
high,2100,2004,0.9542857142857143,0.10678642714570859,0.8932135728542914,0.1188137425360952,runs_n_poses,reference_neighborhood_only,0.2
