repeat,dataset,mol_id,k,oracle_success
1,dockgen,3s6a_1_ANP_0,4,True
1,dockgen,3s6a_1_ANP_0,8,True
1,dockgen,3ub7_1_ACM_1,2,True
1,dockgen,3ub7_1_ACM_1,4,True
1,dockgen,3ub7_1_ACM_1,8,True
1,dockgen,3ub9_1_NHY_1,2,False
1,dockgen,3ub9_1_NHY_1,4,False
1,dockgen,3ub9_1_NHY_1,8,True
1,dockgen,3zjx_1_BOG_0,2,False
1,dockgen,3zjx_1_BOG_0,4,False
1,dockgen,3zjx_1_BOG_0,8,False
1,dockgen,4b4v_1_L34_0,2,False
1,dockgen,4b4v_1_L34_0,4,True
1,dockgen,4b4v_1_L34_0,8,True
1,dockgen,4cdn_2_FAD_0,2,True
1,dockgen,4cdn_2_FAD_0,4,True
1,dockgen,4cdn_2_FAD_0,8,True
1,dockgen,4cnl_1_CHT_1,2,True
1,dockgen,4cnl_1_CHT_1,4,True
1,dockgen,4cnl_1_CHT_1,8,True
1,dockgen,4h2f_1_ADN_0,2,False
1,dockgen,4h2f_1_ADN_0,4,False
1,dockgen,4h2f_1_ADN_0,8,True
1,dockgen,4idk_1_1FE_0,2,False
1,dockgen,4idk_1_1FE_0,4,False
1,dockgen,4idk_1_1FE_0,8,False
1,dockgen,4o95_1_245_0,2,False
1,dockgen,4o95_1_245_0,4,False
1,dockgen,4o95_1_245_0,8,True
1,dockgen,4oal_2_245_0,2,True
1,dockgen,4oal_2_245_0,4,True
1,dockgen,4oal_2_245_0,8,True
1,dockgen,4pfx_1_UDP_0,2,True
1,dockgen,4pfx_1_UDP_0,4,True
1,dockgen,4pfx_1_UDP_0,8,True
1,dockgen,4phr_1_UDP_0,2,True
1,dockgen,4phr_1_UDP_0,4,True
1,dockgen,4phr_1_UDP_0,8,True
1,dockgen,4phs_1_UDP_0,2,True
1,dockgen,4phs_1_UDP_0,4,True
1,dockgen,4phs_1_UDP_0,8,True
1,dockgen,4qa8_1_PJZ_0,2,False
1,dockgen,4qa8_1_PJZ_0,4,False
1,dockgen,4qa8_1_PJZ_0,8,False
1,dockgen,4u63_1_FAD_0,2,True
1,dockgen,4u63_1_FAD_0,4,True
1,dockgen,4u63_1_FAD_0,8,True
1,dockgen,4xfm_1_THE_0,2,False
1,dockgen,4xfm_1_THE_0,4,True
1,dockgen,4xfm_1_THE_0,8,True
1,dockgen,4ydx_1_TCE_0,2,False
1,dockgen,4ydx_1_TCE_0,4,True
1,dockgen,4ydx_1_TCE_0,8,True
1,dockgen,5b5s_1_BOG_0,2,False
1,dockgen,5b5s_1_BOG_0,4,False
1,dockgen,5b5s_1_BOG_0,8,False
1,dockgen,5f2t_1_PLM_0,2,False
1,dockgen,5f2t_1_PLM_0,4,True
1,dockgen,5f2t_1_PLM_0,8,True
1,dockgen,5hhz_1_ZME_0,2,False
1,dockgen,5hhz_1_ZME_0,4,False
1,dockgen,5hhz_1_ZME_0,8,False
1,dockgen,5hmr_1_FDZ_0,2,False
1,dockgen,5hmr_1_FDZ_0,4,True
1,dockgen,5hmr_1_FDZ_0,8,True
1,dockgen,5hqx_1_EDZ_0,2,True
1,dockgen,5hqx_1_EDZ_0,4,True
1,dockgen,5hqx_1_EDZ_0,8,True
1,dockgen,5ida_1_BMA_0,2,True
1,dockgen,5ida_1_BMA_0,4,True
1,dockgen,5ida_1_BMA_0,8,True
1,dockgen,5k3o_2_ASP_0,2,True
1,dockgen,5k3o_2_ASP_0,4,True
1,dockgen,5k3o_2_ASP_0,8,True
1,dockgen,5k45_2_GLU_1,2,True
1,dockgen,5k45_2_GLU_1,4,True
1,dockgen,5k45_2_GLU_1,8,True
1,dockgen,6ea9_1_9BG_0,2,False
1,dockgen,6ea9_1_9BG_0,4,False
1,dockgen,6ea9_1_9BG_0,8,False
1,dockgen,6o6y_1_ACK_0,2,False
1,dockgen,6o6y_1_ACK_0,4,False
1,dockgen,6o6y_1_ACK_0,8,False
1,dockgen,6o70_1_ACK_1,2,False
1,dockgen,6o70_1_ACK_1,4,False
1,dockgen,6o70_1_ACK_1,8,False
1,dockgen,6paa_1_ASP_2,2,False
1,dockgen,6paa_1_ASP_2,4,True
1,dockgen,6paa_1_ASP_2,8,True
1,dockgen,6qkr_1_FAD_0,2,True
1,dockgen,6qkr_1_FAD_0,4,True
1,dockgen,6qkr_1_FAD_0,8,True
1,dockgen,6uqy_2_AT3_0,2,True
1,dockgen,6uqy_2_AT3_0,4,True
1,dockgen,6uqy_2_AT3_0,8,True
1,dockgen,6ur1_2_AT3_0,2,False
1,dockgen,6ur1_2_AT3_0,4,False
1,dockgen,6ur1_2_AT3_0,8,False
1,dockgen,6xb3_3_9BG_1,2,False
1,dockgen,6xb3_3_9BG_1,4,False
1,dockgen,6xb3_3_9BG_1,8,False
1,dockgen,6yao_1_OJ2_0,2,False
1,dockgen,6yao_1_OJ2_0,4,True
1,dockgen,6yao_1_OJ2_0,8,True
1,dockgen,6yap_1_OHZ_0,2,False
1,dockgen,6yap_1_OHZ_0,4,False
1,dockgen,6yap_1_OHZ_0,8,False
1,dockgen,6yaq_1_OHZ_0,2,False
1,dockgen,6yaq_1_OHZ_0,4,False
1,dockgen,6yaq_1_OHZ_0,8,False
1,dockgen,1hg0_1_SIN_1,2,False
1,dockgen,1hg0_1_SIN_1,4,False
1,dockgen,1hg0_1_SIN_1,8,False
1,dockgen,1rqp_1_SAM_0,2,False
1,dockgen,1rqp_1_SAM_0,4,False
1,dockgen,1rqp_1_SAM_0,8,True
1,dockgen,2v7t_1_SAH_4,2,False
1,dockgen,2v7t_1_SAH_4,4,False
1,dockgen,2v7t_1_SAH_4,8,False
1,dockgen,2v7u_1_SAM_2,2,False
1,dockgen,2v7u_1_SAM_2,4,True
1,dockgen,2v7u_1_SAM_2,8,True
1,dockgen,2v7v_1_5FD_0,2,True
1,dockgen,2v7v_1_5FD_0,4,True
1,dockgen,2v7v_1_5FD_0,8,True
1,dockgen,2v7w_1_5FD_0,2,True
1,dockgen,2v7w_1_5FD_0,4,True
1,dockgen,2v7w_1_5FD_0,8,True
1,dockgen,3eca_1_ASP_3,2,False
1,dockgen,3eca_1_ASP_3,4,False
1,dockgen,3eca_1_ASP_3,8,False
1,dockgen,3gf4_1_FAD_1,2,True
1,dockgen,3gf4_1_FAD_1,4,True
1,dockgen,3gf4_1_FAD_1,8,True
1,dockgen,3inr_1_GDU_0,2,False
1,dockgen,3inr_1_GDU_0,4,False
1,dockgen,3inr_1_GDU_0,8,False
1,dockgen,3se5_1_ANP_2,2,False
1,dockgen,3se5_1_ANP_2,4,False
1,dockgen,3se5_1_ANP_2,8,False
1,dockgen,3wrb_1_GDE_0,2,False
1,dockgen,3wrb_1_GDE_0,4,True
1,dockgen,3wrb_1_GDE_0,8,True
1,dockgen,3zec_1_ANP_0,2,True
1,dockgen,3zec_1_ANP_0,4,True
1,dockgen,3zec_1_ANP_0,8,True
1,dockgen,4fyv_1_DCP_2,2,True
1,dockgen,4fyv_1_DCP_2,4,True
1,dockgen,4fyv_1_DCP_2,8,True
1,dockgen,4kgx_1_CTP_5,2,True
1,dockgen,4kgx_1_CTP_5,4,True
1,dockgen,4kgx_1_CTP_5,8,True
1,dockgen,4rhe_1_FMN_6,2,False
1,dockgen,4rhe_1_FMN_6,4,False
1,dockgen,4rhe_1_FMN_6,8,False
1,dockgen,4tvd_1_BGC_4,2,False
1,dockgen,4tvd_1_BGC_4,4,False
1,dockgen,4tvd_1_BGC_4,8,False
1,dockgen,4tvd_1_GLC_0,2,False
1,dockgen,4tvd_1_GLC_0,4,False
1,dockgen,4tvd_1_GLC_0,8,False
1,dockgen,4uoc_1_NCN_1,2,True
1,dockgen,4uoc_1_NCN_1,4,True
1,dockgen,4uoc_1_NCN_1,8,True
1,dockgen,4uuw_1_AMP_0,2,False
1,dockgen,4uuw_1_AMP_0,4,False
1,dockgen,4uuw_1_AMP_0,8,False
1,dockgen,5fiu_1_Y3J_3,2,True
1,dockgen,5fiu_1_Y3J_3,4,True
1,dockgen,5fiu_1_Y3J_3,8,True
1,dockgen,5fxd_1_H7Y_1,2,False
1,dockgen,5fxd_1_H7Y_1,4,False
1,dockgen,5fxd_1_H7Y_1,8,False
1,dockgen,5fxe_1_CIY_1,2,False
1,dockgen,5fxe_1_CIY_1,4,False
1,dockgen,5fxe_1_CIY_1,8,False
1,dockgen,5fxf_1_BEZ_0,2,False
1,dockgen,5fxf_1_BEZ_0,4,False
1,dockgen,5fxf_1_BEZ_0,8,True
1,dockgen,5gqi_1_ATP_7,2,False
1,dockgen,5gqi_1_ATP_7,4,False
1,dockgen,5gqi_1_ATP_7,8,False
1,dockgen,5hw0_1_GLU_2,2,False
1,dockgen,5hw0_1_GLU_2,4,False
1,dockgen,5hw0_1_GLU_2,8,True
1,dockgen,5k4h_2_GLU_3,2,False
1,dockgen,5k4h_2_GLU_3,4,False
1,dockgen,5k4h_2_GLU_3,8,False
1,dockgen,6ep5_1_ADP_1,2,False
1,dockgen,6ep5_1_ADP_1,4,False
1,dockgen,6ep5_1_ADP_1,8,False
1,dockgen,6ryz_1_SAM_2,2,True
1,dockgen,6ryz_1_SAM_2,4,True
1,dockgen,6ryz_1_SAM_2,8,True
1,dockgen,6wyz_1_DGL_1,2,False
1,dockgen,6wyz_1_DGL_1,4,False
1,dockgen,6wyz_1_DGL_1,8,False
1,posebusters_benchmark,5SB2_1K2,2,True
1,posebusters_benchmark,5SB2_1K2,4,True
1,posebusters_benchmark,5SB2_1K2,8,True
1,posebusters_benchmark,5SD5_HWI,2,True
1,posebusters_benchmark,5SD5_HWI,4,True
1,posebusters_benchmark,5SD5_HWI,8,True
1,posebusters_benchmark,5SIS_JSM,2,True
1,posebusters_benchmark,5SIS_JSM,4,True
1,posebusters_benchmark,5SIS_JSM,8,True
1,posebusters_benchmark,6M2B_EZO,2,True
1,posebusters_benchmark,6M2B_EZO,4,True
1,posebusters_benchmark,6M2B_EZO,8,True
1,posebusters_benchmark,6M73_FNR,2,True
1,posebusters_benchmark,6M73_FNR,4,True
1,posebusters_benchmark,6M73_FNR,8,True
1,posebusters_benchmark,6T88_MWQ,2,True
1,posebusters_benchmark,6T88_MWQ,4,True
1,posebusters_benchmark,6T88_MWQ,8,True
1,posebusters_benchmark,6TW7_NZB,2,True
1,posebusters_benchmark,6TW7_NZB,4,True
1,posebusters_benchmark,6TW7_NZB,8,True
1,posebusters_benchmark,6VTA_AKN,2,False
1,posebusters_benchmark,6VTA_AKN,4,False
1,posebusters_benchmark,6VTA_AKN,8,False
1,posebusters_benchmark,6WTN_RXT,2,True
1,posebusters_benchmark,6WTN_RXT,4,True
1,posebusters_benchmark,6WTN_RXT,8,True
1,posebusters_benchmark,6XBO_5MC,2,True
1,posebusters_benchmark,6XBO_5MC,4,True
1,posebusters_benchmark,6XBO_5MC,8,True
1,posebusters_benchmark,6XCT_478,2,True
1,posebusters_benchmark,6XCT_478,4,True
1,posebusters_benchmark,6XCT_478,8,True
1,posebusters_benchmark,6XG5_TOP,2,False
1,posebusters_benchmark,6XG5_TOP,4,True
1,posebusters_benchmark,6XG5_TOP,8,True
1,posebusters_benchmark,6XHT_V2V,2,False
1,posebusters_benchmark,6XHT_V2V,4,False
1,posebusters_benchmark,6XHT_V2V,8,True
1,posebusters_benchmark,6XM9_V55,2,False
1,posebusters_benchmark,6XM9_V55,4,True
1,posebusters_benchmark,6XM9_V55,8,True
1,posebusters_benchmark,6YJA_2BA,2,False
1,posebusters_benchmark,6YJA_2BA,4,False
1,posebusters_benchmark,6YJA_2BA,8,True
1,posebusters_benchmark,6YMS_OZH,2,True
1,posebusters_benchmark,6YMS_OZH,4,True
1,posebusters_benchmark,6YMS_OZH,8,True
1,posebusters_benchmark,6YQV_8K2,2,True
1,posebusters_benchmark,6YQV_8K2,4,True
1,posebusters_benchmark,6YQV_8K2,8,True
1,posebusters_benchmark,6YQW_82I,2,True
