dataset,mol_id,regime,ledger_n,reconstructed_n,ledger_oracle,reconstructed_oracle
astex_diverse,1SQ5_PAU,successful,28,28,True,True
astex_diverse,1T9B_1CS,successful,22,22,True,True
astex_diverse,1U1C_BAU,successful,28,28,True,True
astex_diverse,1UNL_RRC,successful,32,32,True,True
astex_diverse,1W1P_GIO,discrimination-limited,28,28,True,True
astex_diverse,1XOQ_ROF,successful,26,26,True,True
astex_diverse,1YGC_905,successful,32,32,True,True
dockgen,2gag_1_NAD_0,successful,24,24,True,True
dockgen,2gah_1_NAD_0,successful,20,20,True,True
dockgen,2xta_1_ACO_0,successful,30,30,True,True
dockgen,3ad9_1_NAD_0,discrimination-limited,22,22,True,True
posebusters_benchmark,5SAK_ZRY,successful,28,28,True,True
posebusters_benchmark,6TW5_9M2,successful,28,28,True,True
posebusters_benchmark,6YYO_Q1K,discrimination-limited,28,28,True,True
posebusters_benchmark,7KQU_YOF,successful,22,22,True,True
posebusters_benchmark,7N6F_0I1,successful,20,20,True,True
posebusters_benchmark,7NFB_GEN,successful,22,22,True,True
posebusters_benchmark,7NR8_UOE,successful,22,22,True,True
posebusters_benchmark,7P5T_5YG,successful,22,22,True,True
posebusters_benchmark,7RKW_5TV,successful,22,22,True,True
posebusters_benchmark,7T0D_FPP,successful,26,26,True,True
posebusters_benchmark,7V43_C4O,discrimination-limited,22,22,True,True
posebusters_benchmark,7VB8_STL,successful,28,28,True,True
posebusters_benchmark,7WY1_D0L,discrimination-limited,22,22,True,True
posebusters_benchmark,7ZCC_OGA,discrimination-limited,24,24,True,True
posebusters_benchmark,8A1H_DLZ,successful,26,26,True,True
posebusters_benchmark,8C5M_MTA,successful,28,28,True,True
posebusters_benchmark,8D39_QDB,successful,22,22,True,True
posebusters_benchmark,8EX2_Q2Q,successful,28,28,True,True
posebusters_benchmark,7TB0_UD1,successful,20,20,True,True
posebusters_benchmark,8G0V_YHT,successful,30,30,True,True
astex_diverse,1N1M_A3M,successful,18,18,True,True
dockgen,3ad7_1_NAD_0,successful,20,20,True,True
dockgen,3ada_1_NAD_0,discrimination-limited,20,20,True,True
posebusters_benchmark,7CNQ_G8X,successful,24,24,True,True
posebusters_benchmark,7D6O_MTE,successful,20,20,True,True
posebusters_benchmark,7QE4_NGA,successful,16,16,True,True
astex_diverse,1OF6_DTY,successful,8,8,True,True
dockgen,1pj2_1_FUM_0,successful,14,14,True,True
dockgen,4mig_1_G3F_2,successful,14,14,True,True
posebusters_benchmark,6VS3_R6V,successful,6,6,True,True
posebusters_benchmark,6X8D_ARA,successful,6,6,True,True
posebusters_benchmark,6XAF_GDP,successful,6,6,True,True
posebusters_benchmark,6XUM_30L,successful,6,6,True,True
posebusters_benchmark,6Y7L_QMG,successful,6,6,True,True
posebusters_benchmark,6YDY_K73,successful,6,6,True,True
posebusters_benchmark,6ZR8_QOZ,successful,6,6,True,True
posebusters_benchmark,6ZT2_QPK,discrimination-limited,6,6,True,True
posebusters_benchmark,6ZX3_QRZ,successful,6,6,True,True
posebusters_benchmark,7AA0_R6B,successful,6,6,True,True
posebusters_benchmark,7AMC_73B,successful,6,6,True,True
posebusters_benchmark,7AS1_21G,successful,6,6,True,True
posebusters_benchmark,7B2C_TP7,successful,6,6,True,True
posebusters_benchmark,7BA0_T5H,successful,6,6,True,True
posebusters_benchmark,7BJ6_TVK,successful,6,6,True,True
posebusters_benchmark,7BLA_WCS,successful,6,6,True,True
posebusters_benchmark,7BLG_GAL,successful,6,6,True,True
posebusters_benchmark,7C6P_SQH,successful,6,6,True,True
posebusters_benchmark,7D0P_1VU,successful,6,6,True,True
posebusters_benchmark,7D9L_GSF,successful,6,6,True,True
posebusters_benchmark,7JGW_V9S,successful,6,6,True,True
posebusters_benchmark,7JNB_A2G,successful,6,6,True,True
posebusters_benchmark,7JR8_VH7,successful,6,6,True,True
posebusters_benchmark,7K41_VUA,discrimination-limited,6,6,True,True
posebusters_benchmark,7KFO_IAC,successful,6,6,True,True
posebusters_benchmark,7L6D_BMF,successful,6,6,True,True
posebusters_benchmark,7L81_UD4,successful,6,6,True,True
posebusters_benchmark,7LB3_XXS,successful,6,6,True,True
posebusters_benchmark,7MAE_XUS,successful,6,6,True,True
posebusters_benchmark,7MEU_MGP,successful,6,6,True,True
posebusters_benchmark,7NA4_1I9,successful,6,6,True,True
posebusters_benchmark,7NB4_U6Q,successful,6,6,True,True
posebusters_benchmark,7NLK_UHK,successful,6,6,True,True
posebusters_benchmark,7NTG_F6R,successful,6,6,True,True
posebusters_benchmark,7ODX_DGP,successful,6,6,True,True
posebusters_benchmark,7OKF_VH5,successful,6,6,True,True
posebusters_benchmark,7OLT_58J,discrimination-limited,6,6,True,True
posebusters_benchmark,7OMJ_GCP,successful,6,6,True,True
posebusters_benchmark,7OU8_1XI,successful,6,6,True,True
posebusters_benchmark,7P4V_DAT,discrimination-limited,6,6,True,True
posebusters_benchmark,7PA4_C,successful,6,6,True,True
posebusters_benchmark,7Q19_DSM,discrimination-limited,6,6,True,True
posebusters_benchmark,7QSW_CAP,successful,6,6,True,True
posebusters_benchmark,7REE_4LY,successful,6,6,True,True
posebusters_benchmark,7RPZ_6IC,discrimination-limited,6,6,True,True
posebusters_benchmark,7RUI_7QZ,successful,6,6,True,True
posebusters_benchmark,7RWO_7WN,successful,6,6,True,True
posebusters_benchmark,7S9H_7PP,successful,6,6,True,True
posebusters_benchmark,7SED_8VD,successful,6,6,True,True
posebusters_benchmark,7SSM_B7L,successful,6,6,True,True
posebusters_benchmark,7T2I_E9F,successful,6,6,True,True
posebusters_benchmark,7T3F_EM0,successful,6,6,True,True
posebusters_benchmark,7TXP_0FX,discrimination-limited,6,6,True,True
posebusters_benchmark,7UF2_5SP,successful,6,6,True,True
posebusters_benchmark,7UMV_NUU,successful,6,6,True,True
posebusters_benchmark,7UP3_NZ0,successful,6,6,True,True
posebusters_benchmark,7V8Z_5YH,discrimination-limited,6,6,True,True
posebusters_benchmark,7VJT_7IJ,successful,6,6,True,True
posebusters_benchmark,7WN5_JGL,discrimination-limited,6,6,True,True
posebusters_benchmark,7XEK_9YX,successful,6,6,True,True
posebusters_benchmark,8ACL_LQL,successful,6,6,True,True
posebusters_benchmark,8AEU_M0L,successful,6,6,True,True
posebusters_benchmark,8BN6_R53,successful,6,6,True,True
posebusters_benchmark,8BPL_CP,successful,6,6,True,True
posebusters_benchmark,8C5D_GTB,successful,6,6,True,True
posebusters_benchmark,8C7Y_TXV,discrimination-limited,6,6,True,True
posebusters_benchmark,8DW5_FQ7,successful,6,6,True,True
posebusters_benchmark,8DZT_G4P,successful,6,6,True,True
posebusters_benchmark,8E77_ULP,successful,6,6,True,True
posebusters_benchmark,8EAD_UY0,successful,6,6,True,True
posebusters_benchmark,8FLN_Y7W,successful,6,6,True,True
posebusters_benchmark,8FV9_80J,successful,6,6,True,True
posebusters_benchmark,8G43_ZU6,successful,6,6,True,True
posebusters_benchmark,8H0M_2EH,successful,6,6,True,True
dockgen,1i8t_1_FAD_1,successful,6,6,True,True
dockgen,1uf8_1_ING_2,successful,6,6,True,True
