selector,dataset,n_cases,manifest_cases,case_coverage,success,any_ligand_success,pb_valid_all,median_rmsd,median_centroid_distance,mean_reference_neighborhood_tanimoto
lodo_hgb_low_similarity_penalized,posebusters_benchmark,305,428,0.7126168224299065,0.4491803278688525,0.4524590163934426,0.43278688524590164,2.509855474590785,1.0265626334746596,0.7059177968734374
lodo_hgb_low_similarity_weighted,astex_diverse,85,85,1.0,0.4823529411764706,0.5058823529411764,0.5058823529411764,2.02990430434112,1.0261090453435853,0.4344056802657449
lodo_hgb_low_similarity_weighted,dockgen,99,189,0.5238095238095238,0.3333333333333333,0.3434343434343434,0.08080808080808081,8.39180483057131,4.920548458237831,0.3086354106836678
lodo_hgb_low_similarity_weighted,posebusters_benchmark,305,428,0.7126168224299065,0.4491803278688525,0.4524590163934426,0.43278688524590164,2.509855474590785,1.0265626334746596,0.7059177968734374
lodo_hgb_ordinary,astex_diverse,85,85,1.0,0.5294117647058824,0.5529411764705883,0.5882352941176471,1.618826408647338,0.8926092974193879,0.4344056802657449
lodo_hgb_ordinary,dockgen,99,189,0.5238095238095238,0.36363636363636365,0.37373737373737376,0.0707070707070707,7.083664373818757,3.639872223367799,0.3086354106836678
lodo_hgb_ordinary,posebusters_benchmark,305,428,0.7126168224299065,0.4163934426229508,0.419672131147541,0.4163934426229508,2.865474382393576,1.2961257586402402,0.7059177968734374
lodo_logreg_low_similarity_weighted,astex_diverse,85,85,1.0,0.5529411764705883,0.5882352941176471,0.788235294117647,1.4738001057357366,0.7594901132387748,0.4344056802657449
lodo_logreg_low_similarity_weighted,dockgen,99,189,0.5238095238095238,0.31313131313131315,0.32323232323232326,0.10101010101010101,13.890407760308406,14.337961064787228,0.3086354106836678
lodo_logreg_low_similarity_weighted,posebusters_benchmark,305,428,0.7126168224299065,0.46557377049180326,0.4721311475409836,0.7213114754098361,2.23743919470452,0.9828037322314896,0.7059177968734374
lodo_logreg_ordinary,astex_diverse,85,85,1.0,0.5764705882352941,0.611764705882353,0.7764705882352941,1.384183346076507,0.7543282291003054,0.4344056802657449
lodo_logreg_ordinary,dockgen,99,189,0.5238095238095238,0.30303030303030304,0.31313131313131315,0.10101010101010101,16.54435315293912,16.042647300336267,0.3086354106836678
lodo_logreg_ordinary,posebusters_benchmark,305,428,0.7126168224299065,0.4426229508196721,0.4491803278688525,0.6098360655737705,2.5112084013307876,1.0334923623184284,0.7059177968734374
lodo_prior_physics_calibrated,astex_diverse,85,85,1.0,0.6352941176470588,0.6823529411764706,0.8,1.2921485308545118,0.549654410550522,0.4344056802657449
lodo_prior_physics_calibrated,dockgen,99,189,0.5238095238095238,0.3838383838383838,0.3939393939393939,0.10101010101010101,5.470953770047779,1.6934463668814452,0.3086354106836678
lodo_prior_physics_calibrated,posebusters_benchmark,305,428,0.7126168224299065,0.49836065573770494,0.5049180327868853,0.7081967213114754,2.0129570473976277,0.8689373385328425,0.7059177968734374
lodo_run_prior,astex_diverse,85,85,1.0,0.6235294117647059,0.6705882352941176,0.6588235294117647,1.2588566438727637,0.5707078180774714,0.4344056802657449
lodo_run_prior,dockgen,99,189,0.5238095238095238,0.36363636363636365,0.37373737373737376,0.06060606060606061,6.520460521731156,2.244743362480441,0.3086354106836678
lodo_run_prior,posebusters_benchmark,305,428,0.7126168224299065,0.49836065573770494,0.5049180327868853,0.7081967213114754,2.0129570473976277,0.8689373385328425,0.7059177968734374
oracle_pool_upper_bound,astex_diverse,85,85,1.0,0.8705882352941177,0.8823529411764706,0.4588235294117647,0.4963077176571613,0.2621215268685666,0.4344056802657449
oracle_pool_upper_bound,dockgen,99,189,0.5238095238095238,0.6464646464646465,0.6868686868686869,0.0707070707070707,1.011298713818735,0.5539548417214785,0.3086354106836678
oracle_pool_upper_bound,posebusters_benchmark,305,428,0.7126168224299065,0.7311475409836066,0.7540983606557377,0.4918032786885246,0.9789919683020898,0.4374430028167146,0.7059177968734374
