selector,dataset,similarity_risk,n_cases,manifest_cases,case_coverage,success,any_ligand_success,pb_valid_all,median_rmsd,median_centroid_distance,mean_memory_tanimoto
lodo_hgb_antimemory_penalized,dockgen,low_similarity,75,189,0.3968253968253968,0.36,0.37333333333333335,0.02666666666666667,7.31617513719989,4.149735106202909,0.23795292198987827
lodo_hgb_antimemory_penalized,dockgen,mid_or_unknown,9,189,0.047619047619047616,0.5555555555555556,0.5555555555555556,0.2222222222222222,1.863102768904604,1.2513150378701596,0.516564068647402
lodo_hgb_antimemory_penalized,posebusters_benchmark,high_ligand_or_scaffold,122,428,0.2850467289719626,0.5327868852459017,0.5327868852459017,0.4672131147540984,1.6753634188370004,0.7756011964396816,0.781905794917732
lodo_hgb_antimemory_penalized,posebusters_benchmark,low_similarity,68,428,0.1588785046728972,0.4852941176470588,0.4852941176470588,0.5,2.363344265145467,0.9294542003269803,0.29134839213261715
lodo_hgb_antimemory_penalized,posebusters_benchmark,mid_or_unknown,30,428,0.07009345794392523,0.43333333333333335,0.43333333333333335,0.43333333333333335,3.167594643088031,0.7550410666608207,0.5400922302447368
lodo_hgb_antimemory_penalized,posebusters_benchmark,pdb_overlap,85,428,0.1985981308411215,0.3058823529411765,0.3176470588235294,0.32941176470588235,4.490960265355284,2.2804015339251062,0.9870348646361766
lodo_hgb_antimemory_weighted,astex_diverse,high_ligand_or_scaffold,27,85,0.3176470588235294,0.2962962962962963,0.3333333333333333,0.2962962962962963,4.196647890876718,3.6422632808956985,0.6473362666035998
lodo_hgb_antimemory_weighted,astex_diverse,low_similarity,46,85,0.5411764705882353,0.5869565217391305,0.5869565217391305,0.5869565217391305,1.1792249586867989,0.45731413470164695,0.29098164783725144
lodo_hgb_antimemory_weighted,astex_diverse,mid_or_unknown,12,85,0.1411764705882353,0.5,0.5833333333333334,0.6666666666666666,3.5548686338632054,3.0857442073265844,0.5051039853147968
lodo_hgb_antimemory_weighted,dockgen,high_ligand_or_scaffold,15,189,0.07936507936507936,0.06666666666666667,0.06666666666666667,0.26666666666666666,23.754991853082164,23.345515235104617,0.5372906593743747
lodo_hgb_antimemory_weighted,dockgen,low_similarity,75,189,0.3968253968253968,0.36,0.37333333333333335,0.02666666666666667,7.31617513719989,4.149735106202909,0.23795292198987827
lodo_hgb_antimemory_weighted,dockgen,mid_or_unknown,9,189,0.047619047619047616,0.5555555555555556,0.5555555555555556,0.2222222222222222,1.863102768904604,1.2513150378701596,0.516564068647402
lodo_hgb_antimemory_weighted,posebusters_benchmark,high_ligand_or_scaffold,122,428,0.2850467289719626,0.5327868852459017,0.5327868852459017,0.4672131147540984,1.6753634188370004,0.7756011964396816,0.781905794917732
lodo_hgb_antimemory_weighted,posebusters_benchmark,low_similarity,68,428,0.1588785046728972,0.4852941176470588,0.4852941176470588,0.5,2.363344265145467,0.9294542003269803,0.29134839213261715
lodo_hgb_antimemory_weighted,posebusters_benchmark,mid_or_unknown,30,428,0.07009345794392523,0.43333333333333335,0.43333333333333335,0.43333333333333335,3.167594643088031,0.7550410666608207,0.5400922302447368
lodo_hgb_antimemory_weighted,posebusters_benchmark,pdb_overlap,85,428,0.1985981308411215,0.3058823529411765,0.3176470588235294,0.32941176470588235,4.490960265355284,2.2804015339251062,0.9870348646361766
lodo_hgb_ordinary,astex_diverse,high_ligand_or_scaffold,27,85,0.3176470588235294,0.3333333333333333,0.37037037037037035,0.4444444444444444,3.33307351988604,2.606540138803969,0.6473362666035998
lodo_hgb_ordinary,astex_diverse,low_similarity,46,85,0.5411764705882353,0.6304347826086957,0.6304347826086957,0.6304347826086957,0.9361924902400758,0.41478268419460385,0.29098164783725144
lodo_hgb_ordinary,astex_diverse,mid_or_unknown,12,85,0.1411764705882353,0.5833333333333334,0.6666666666666666,0.75,0.8006795380495471,0.44288366669978696,0.5051039853147968
lodo_hgb_ordinary,dockgen,high_ligand_or_scaffold,15,189,0.07936507936507936,0.06666666666666667,0.06666666666666667,0.2,32.61004441717306,32.529958818674935,0.5372906593743747
lodo_hgb_ordinary,dockgen,low_similarity,75,189,0.3968253968253968,0.38666666666666666,0.4,0.02666666666666667,6.520460521731156,2.384474053979532,0.23795292198987827
lodo_hgb_ordinary,dockgen,mid_or_unknown,9,189,0.047619047619047616,0.6666666666666666,0.6666666666666666,0.2222222222222222,1.8947414370655808,1.2513150378701596,0.516564068647402
