selector,baseline,scope,n_paired,success_delta,success_delta_ci_low,success_delta_ci_high,median_rmsd_delta,median_rmsd_delta_ci_low,median_rmsd_delta_ci_high,n_bootstrap
lodo_hgb_low_similarity_weighted,lodo_run_prior,risk=mid_or_unknown,51,-0.058823529411764705,-0.1568627450980392,0.0392156862745098,0.03246139034594042,0.0,0.25305898430048046,2000
lodo_hgb_low_similarity_weighted,lodo_run_prior,risk=pdb_overlap,85,-0.1411764705882353,-0.23529411764705882,-0.047058823529411764,0.0,0.0,0.07522794018395906,2000
lodo_hgb_ordinary,lodo_run_prior,all,489,-0.06748466257668712,-0.10224948875255624,-0.032719836400818,0.0,0.0,0.031007401089030828,2000
lodo_hgb_ordinary,lodo_run_prior,dataset=astex_diverse,85,-0.09411764705882353,-0.18823529411764706,0.0,0.0,-0.005363724380221014,0.07353881278878549,2000
lodo_hgb_ordinary,lodo_run_prior,dataset=dockgen,99,0.0,-0.0707070707070707,0.0707070707070707,0.0811047221931176,0.0,0.21773451015064343,2000
lodo_hgb_ordinary,lodo_run_prior,dataset=posebusters_benchmark,305,-0.08196721311475409,-0.12786885245901639,-0.03934426229508197,0.0,0.0,0.009653169955791796,2000
lodo_hgb_ordinary,lodo_run_prior,risk=high_ligand_or_scaffold,164,-0.06097560975609756,-0.12195121951219512,0.0,0.0,0.0,0.01300744747322142,2000
lodo_hgb_ordinary,lodo_run_prior,risk=low_similarity,189,-0.047619047619047616,-0.10052910052910052,0.005291005291005291,0.03762500314995382,0.0,0.07486456583172885,2000
lodo_hgb_ordinary,lodo_run_prior,risk=mid_or_unknown,51,0.0,-0.11764705882352941,0.11764705882352941,0.006949574159520466,-0.02215799959170578,0.13114981149262794,2000
lodo_hgb_ordinary,lodo_run_prior,risk=pdb_overlap,85,-0.16470588235294117,-0.25882352941176473,-0.08235294117647059,0.0,0.0,0.03892928958698061,2000
lodo_logreg_low_similarity_weighted,lodo_run_prior,all,489,-0.04294478527607362,-0.07157464212678936,-0.014314928425357873,0.0,0.0,0.0,2000
lodo_logreg_low_similarity_weighted,lodo_run_prior,dataset=astex_diverse,85,-0.07058823529411765,-0.1411764705882353,0.0,0.0,0.0,0.011083682092122404,2000
lodo_logreg_low_similarity_weighted,lodo_run_prior,dataset=dockgen,99,-0.050505050505050504,-0.12121212121212122,0.020202020202020204,0.013720755883889157,0.0,0.12137158896777911,2000
lodo_logreg_low_similarity_weighted,lodo_run_prior,dataset=posebusters_benchmark,305,-0.03278688524590164,-0.06885245901639345,0.0,0.0,0.0,0.0,2000
lodo_logreg_low_similarity_weighted,lodo_run_prior,risk=high_ligand_or_scaffold,164,-0.04878048780487805,-0.10365853658536585,0.006097560975609756,0.0,0.0,0.0,2000
lodo_logreg_low_similarity_weighted,lodo_run_prior,risk=low_similarity,189,-0.037037037037037035,-0.08465608465608465,0.010582010582010581,0.0,0.0,0.0,2000
lodo_logreg_low_similarity_weighted,lodo_run_prior,risk=mid_or_unknown,51,-0.0392156862745098,-0.09803921568627451,0.0,0.0,0.0,0.0,2000
lodo_logreg_low_similarity_weighted,lodo_run_prior,risk=pdb_overlap,85,-0.047058823529411764,-0.11764705882352941,0.023529411764705882,0.0,0.0,0.0,2000
