selector,method,similarity_bin,n,success,median_rmsd,pb_valid_all,replacement_rate,eligible_rate
geometry_filter_relaxed,boltz2,low,31,0.06451612903225806,8.908732414245605,,0.03225806451612903,1.0
geometry_filter_relaxed,boltz2,mid,299,0.5418060200668896,1.7600971460342407,,0.023411371237458192,1.0
geometry_filter_relaxed,chai,all,680,0.5941176470588235,1.1785191297531128,0.6968325791855203,0.027941176470588237,0.9955882352941177
geometry_filter_relaxed,chai,high,300,0.8733333333333333,0.44372209906578064,0.8175675675675675,0.013333333333333334,0.9966666666666667
geometry_filter_relaxed,chai,low,80,0.2125,9.581171989440918,0.5063291139240507,0.0125,0.9875
geometry_filter_relaxed,chai,mid,300,0.4166666666666667,2.5385701656341553,0.625,0.04666666666666667,0.9966666666666667
geometry_filter_relaxed,protenix,all,687,0.5822416302765647,1.2028934955596924,0.6442451420029895,0.026200873362445413,0.9956331877729258
geometry_filter_relaxed,protenix,high,300,0.91,0.4405972957611084,0.735593220338983,0.016666666666666666,0.99
geometry_filter_relaxed,protenix,low,87,0.10344827586206896,11.975975036621094,0.38823529411764707,0.022988505747126436,1.0
geometry_filter_relaxed,protenix,mid,300,0.3933333333333333,2.7282696962356567,0.6262975778546713,0.03666666666666667,1.0
geometry_filter_strict,all_methods,all,4727,0.6251322191664904,1.094585657119751,0.6988312041315575,0.09964036386714618,0.9754601226993865
geometry_filter_strict,all_methods,high,2100,0.8919047619047619,0.4436071962118149,0.7698066126013724,0.10142857142857142,0.9647619047619047
geometry_filter_strict,all_methods,low,528,0.14583333333333334,8.074556350708008,0.47129186602870815,0.1590909090909091,0.9886363636363636
geometry_filter_strict,all_methods,mid,2099,0.4787994282991901,2.114299058914185,0.6875753920386007,0.08289661743687471,0.9828489757027156
geometry_filter_strict,af3,all,697,0.6341463414634146,0.9933506846427916,0.7012987012987013,0.11908177905308465,0.9870875179340028
geometry_filter_strict,af3,high,300,0.9133333333333333,0.3315538167953491,0.7851851851851852,0.1,0.9866666666666667
geometry_filter_strict,af3,low,97,0.1958762886597938,6.997989654541016,0.42105263157894735,0.21649484536082475,0.9896907216494846
geometry_filter_strict,af3,mid,300,0.49666666666666665,2.0027053356170654,0.6962962962962963,0.10666666666666667,0.9866666666666667
geometry_filter_strict,af3_no_template,all,697,0.6441893830703013,0.9778943061828612,0.6628849270664505,0.11764705882352941,0.9827833572453372
geometry_filter_strict,af3_no_template,high,300,0.9266666666666666,0.34777654707431793,0.7389705882352942,0.09333333333333334,0.9833333333333333
