selector,method,similarity_bin,n,success,median_rmsd,pb_valid_all,mean_reference_neighborhood_similarity,pair_auroc,pair_auprc,official_success,delta_vs_official
pair_rank_confidence_ordinary_thr0.5,all_methods,low,528,0.1439393939393939,8.052087783813477,0.4444444444444444,0.2680201538600677,0.6977889954318497,0.0827875437406646,0.1382575757575757,0.0056818181818182045
pair_rank_confidence_ordinary_thr0.5,all_methods,mid,2099,0.4759409242496427,2.140937805175781,0.6702371843917369,0.5112051886328398,0.6977889954318497,0.0827875437406646,0.4826107670319199,-0.006669842782277224
pair_rank_structure_ordinary_thr0.5,all_methods,all,4727,0.63063253649249,1.0951135158538818,0.6943722943722944,0.6742088057849301,0.7748355071085815,0.1845717336061616,0.6244975671673366,0.006134969325153339
pair_rank_structure_ordinary_thr0.5,all_methods,high,2100,0.89,0.4431633502244949,0.7794117647058824,0.939262234650914,0.7748355071085815,0.1845717336061616,0.8885714285714286,0.0014285714285714457
pair_rank_structure_ordinary_thr0.5,all_methods,low,528,0.1477272727272727,8.416561126708984,0.4318766066838046,0.2680201538600677,0.7748355071085815,0.1845717336061616,0.1382575757575757,0.009469696969697017
pair_rank_structure_ordinary_thr0.5,all_methods,mid,2099,0.4926155312053358,2.055450916290283,0.6689750692520776,0.5112051886328398,0.7748355071085815,0.1845717336061616,0.4826107670319199,0.010004764173415892
pair_rank_structure_low_similarity_thr0.5,all_methods,all,4727,0.6329595938227205,1.106181263923645,0.6829947119398831,0.6742088057849301,0.7730806459491144,0.1884272026751104,0.6244975671673366,0.00846202665538387
pair_rank_structure_low_similarity_thr0.5,all_methods,high,2100,0.8923809523809524,0.4436071962118149,0.7780458383594693,0.939262234650914,0.7730806459491144,0.1884272026751104,0.8885714285714286,0.003809523809523818
pair_rank_structure_low_similarity_thr0.5,all_methods,low,528,0.1571969696969697,8.074556350708008,0.4236902050113895,0.2680201538600677,0.7730806459491144,0.1884272026751104,0.1382575757575757,0.018939393939394006
pair_rank_structure_low_similarity_thr0.5,all_methods,mid,2099,0.4930919485469271,2.055450916290283,0.6537433155080213,0.5112051886328398,0.7730806459491144,0.1884272026751104,0.4826107670319199,0.01048118151500721
pair_rank_structure_memory_ordinary_thr0.5,all_methods,all,4727,0.633805796488259,1.0816150903701782,0.6839863713798978,0.6742088057849301,0.790406159608952,0.2009899091234392,0.6244975671673366,0.009308229320922345
pair_rank_structure_memory_ordinary_thr0.5,all_methods,high,2100,0.8914285714285715,0.4436071962118149,0.7712066905615292,0.939262234650914,0.790406159608952,0.2009899091234392,0.8885714285714286,0.0028571428571428914
pair_rank_structure_memory_ordinary_thr0.5,all_methods,low,528,0.1515151515151515,8.052087783813477,0.4183006535947712,0.2680201538600677,0.790406159608952,0.2009899091234392,0.1382575757575757,0.013257575757575801
pair_rank_structure_memory_ordinary_thr0.5,all_methods,mid,2099,0.4973797046212482,2.0146636962890625,0.6666666666666666,0.5112051886328398,0.790406159608952,0.2009899091234392,0.4826107670319199,0.01476893758932829
pair_rank_structure_memory_low_similarity_thr0.5,all_methods,all,4727,0.63063253649249,1.0808590650558472,0.6848606722206263,0.6742088057849301,0.8012792752901445,0.201374471958815,0.6244975671673366,0.006134969325153339
pair_rank_structure_memory_low_similarity_thr0.5,all_methods,high,2100,0.8885714285714286,0.4438283741474151,0.7785317705120296,0.939262234650914,0.8012792752901445,0.201374471958815,0.8885714285714286,0.0
pair_rank_structure_memory_low_similarity_thr0.5,all_methods,low,528,0.1553030303030303,8.14870548248291,0.4122621564482029,0.2680201538600677,0.8012792752901445,0.201374471958815,0.1382575757575757,0.017045454545454614
pair_rank_structure_memory_low_similarity_thr0.5,all_methods,mid,2099,0.4921391138637446,2.058554649353028,0.6683489545782264,0.5112051886328398,0.8012792752901445,0.201374471958815,0.4826107670319199,0.009528346831824686
