detector,flagged_fraction,retained_coverage_estimate,flagged_n_estimate,flagged_failure_rate_estimate,flagged_failure_rate_mean,flagged_failure_rate_ci_low,flagged_failure_rate_ci_high,failure_capture_rate_estimate,failure_capture_rate_mean,failure_capture_rate_ci_low,failure_capture_rate_ci_high,retained_coverage_mean,retained_coverage_ci_low,retained_coverage_ci_high,retained_success_estimate,retained_success_mean,retained_success_ci_low,retained_success_ci_high,retained_success_delta_estimate,retained_success_delta_mean,retained_success_delta_ci_low,retained_success_delta_ci_high,flagged_failure_rescueable_rate_estimate,flagged_failure_rescueable_rate_mean,flagged_failure_rescueable_rate_ci_low,flagged_failure_rescueable_rate_ci_high,actionable_flag_rate_estimate,actionable_flag_rate_mean,actionable_flag_rate_ci_low,actionable_flag_rate_ci_high
rank_confidence_structure,0.2,0.7998730696001692,946.0,0.8636363636363636,0.8625737238709326,0.8273341284599439,0.8957145406342408,0.4602816901408451,0.4604492360330667,0.43305941709225,0.48983949166106927,0.7999182625032107,0.7998266897746967,0.8,0.7466278762232214,0.7466856735366084,0.713878790238215,0.7776942369788481,0.12213030905588484,0.12190162705229506,0.11509244305896511,0.12873573460524215,0.193390452876377,0.19624698253682027,0.16235706533535924,0.2316129955416315,0.16701902748414377,0.16917253447885858,0.14025695931477516,0.19864188128865504
rank_confidence_structure,0.3,0.6998096044002539,1419.0,0.7836504580690627,0.7865498274985987,0.7459680830173859,0.8228057525889153,0.6264788732394366,0.6295867651298213,0.5964818438104855,0.6652705094991365,0.6999108678221937,0.6998069392325531,0.7,0.7995767835550182,0.8011448451140813,0.769715952718707,0.8331038961038961,0.17507921638768165,0.1763607986297681,0.16550368668428317,0.1875725741366626,0.20323741007194246,0.20367650632077272,0.17313450128710464,0.2322857429448334,0.15926708949964763,0.16011139406798428,0.13728073753773354,0.1830175026231747
rank_confidence_structure,0.4,0.599957689866723,1891.0,0.7139079851930196,0.7134952035276344,0.6715774362438778,0.7504059178099465,0.7605633802816901,0.7612051421217145,0.7291236494597839,0.7911877834369386,0.5999165812333508,0.5998275118585598,0.6,0.8501410437235544,0.8503817972298929,0.8217170652195418,0.8782601765159904,0.22564347655621786,0.22559775074557972,0.2097240135308803,0.24107214882035446,0.2162962962962963,0.21613151824051346,0.188526418865221,0.24662510073376595,0.15441565309360128,0.15408810049134367,0.13544826207688523,0.1740688286401519
rank_confidence_structure,0.5,0.4998942246668077,2364.0,0.6412859560067682,0.641229739262692,0.5991657910458712,0.6797058868283472,0.8540845070422535,0.854854014844655,0.8281515439388525,0.8797470579547039,0.49994772669998416,0.49989111379181994,0.5,0.890393567498942,0.8908536341973597,0.8651773334105187,0.9147434487188124,0.26589600033160554,0.2660695877130463,0.2474402932082753,0.28619364272628406,0.22691292875989447,0.22683172762310483,0.19980410447761193,0.2575865547954988,0.1455160744500846,0.1453345405813273,0.12797956933599117,0.16244442931201125
rank_confidence_structure_memory,0.05,0.94986249206685,237.0,0.9493670886075949,0.9485161095663744,0.905589430894309,0.9829441716675759,0.1267605633802817,0.1268652521946512,0.11716101359898798,0.13826914568850338,0.9498983019832054,0.9497991746678318,0.95,0.6547884187082406,0.655133084235238,0.6259656258788143,0.6854356306080618,0.03029085154090405,0.03024386415465117,0.027777453403196744,0.03252579661937377,0.12444444444444444,0.12116279682099296,0.06607929515418502,0.1836696708463949,0.11814345991561181,0.11483606677485099,0.0635593220338983,0.17418608362591764
rank_confidence_structure_memory,0.1,0.8999365348000846,473.0,0.9429175475687104,0.9427891513804854,0.9132637324321424,0.9686192468619247,0.2512676056338028,0.25192181345219156,0.23358066104689898,0.27337286701790764,0.8999043685987806,0.8998073217726397,0.9,0.6875881523272214,0.6880316307813357,0.6581877468096028,0.7200039760215317,0.06309058515988486,0.06314241070074879,0.05878191698551327,0.06693020951563167,0.13228699551569506,0.1338005494236981,0.09226700439544067,0.1764057595195851,0.12473572938689217,0.12609617062808884,0.08742771293039121,0.16613886387030366
rank_confidence_structure_memory,0.2,0.7998730696001692,946.0,0.8974630021141649,0.8965474508115774,0.8636660016628965,0.9282407097888462,0.4783098591549296,0.47871515852851987,0.4521335430277664,0.5102793539938891,0.7999153138118799,0.7998268772992859,0.8,0.7550912457021952,0.755317415445121,0.7231667371990775,0.7875276530673996,0.1305936785348587,0.13042819536453415,0.12295190369983358,0.13735598520788794,0.1519434628975265,0.1542714470418846,0.12157982324106345,0.18643228796956188,0.13636363636363635,0.13822891371314597,0.11029434273332153,0.16633817427385889
rank_confidence_structure_memory,0.3,0.6998096044002539,1419.0,0.8350951374207188,0.8326114627810444,0.7981493731493732,0.866927276189164,0.6676056338028169,0.6666586817856168,0.6326847212772245,0.7019609067403185,0.6999024897659842,0.6998079795178153,0.7,0.8216444981862152,0.8210521077006886,0.78771122409283,0.8505812295898537,0.1971469310188787,0.1961628876201018,0.1856113177496621,0.20706124335848888,0.17721518987341772,0.17661942113345527,0.14738765569559498,0.20651777880143896,0.14799154334038056,0.14697024148576246,0.12325245435539267,0.17067457464653724
rank_confidence_structure_memory,0.4,0.599957689866723,1891.0,0.7535695399259651,0.7529215668325995,0.7140594309526992,0.7916218602436411,0.8028169014084507,0.8034646091207048,0.7733787618420336,0.8315125958394447,0.5999109077469402,0.5998269426351285,0.6,0.8765867418899859,0.8768565386866435,0.8489122258303975,0.9000101807552496,0.25208917472264936,0.2519673186060566,0.23780423208109452,0.2656293369601964,0.1943859649122807,0.19506156648435113,0.1677056810403833,0.22349482435684842,0.14648334214701217,0.1467599165172684,0.12695258363662534,0.16699828550803103
rank_confidence_structure_memory,0.5,0.4998942246668077,2364.0,0.666243654822335,0.6654840004803089,0.6244775967998538,0.7079933681913031,0.8873239436619719,0.8873933767567905,0.8633678470879549,0.9085607155019939,0.4999437578910667,0.49989156128004675,0.5,0.9153618281845112,0.9153278892858012,0.8920806758963988,0.9349828196612598,0.29086426101717466,0.2904386692052144,0.2730333148380384,0.3101828561710035,0.21587301587301588,0.21702805631748556,0.18945081343240708,0.24494314254593855,0.14382402707275804,0.14432017313716072,0.12598952048353884,0.16134467100046257
rank_confidence_structure_memory_shuffled,0.05,0.94986249206685,237.0,0.9324894514767933,0.9335238587681888,0.8942801079882714,0.9702790299314821,0.12450704225352113,0.12498510775726174,0.1146925977527583,0.1354476089834773,0.9499055859433879,0.9498008585760138,0.95,0.6538975501113586,0.654773162738479,0.6248350256897266,0.6826901150794495,0.02939998294402213,0.029470400773763557,0.02705158062452646,0.03160882638507473,0.16289592760180996,0.15631248815348464,0.10714285714285714,0.2131574074074074,0.1518987341772152,0.14577660090619982,0.10061882493583207,0.19446412916423142
