selector,method,memory_bin,n,success,median_rmsd,pb_valid_all,pair_auroc,pair_auprc
nested_pair_rank_structure_memory_antimemory_low_success,protenix,high,300,0.9266666666666666,0.4405957013368606,0.7397769516728625,0.8015322064462541,0.19678003919730766
nested_pair_rank_structure_memory_antimemory_low_success,protenix,low,87,0.12643678160919541,11.975975036621094,0.379746835443038,0.8015322064462541,0.19678003919730766
nested_pair_rank_structure_memory_antimemory_low_success,protenix,mid,300,0.4033333333333333,2.718749761581421,0.6761904761904762,0.8015322064462541,0.19678003919730766
nested_pair_rank_structure_memory_ordinary_all_success,all_methods,all,4727,0.6312671884916438,1.0816150903701782,0.6733420026007803,0.793760274852353,0.18699683214414653
nested_pair_rank_structure_memory_ordinary_all_success,all_methods,high,2100,0.8919047619047619,0.4425499886274338,0.7607326846021751,0.793760274852353,0.18699683214414653
nested_pair_rank_structure_memory_ordinary_all_success,all_methods,low,528,0.15151515151515152,8.14870548248291,0.4140786749482402,0.793760274852353,0.18699683214414653
nested_pair_rank_structure_memory_ordinary_all_success,all_methods,mid,2099,0.4911862791805622,2.060022115707397,0.6563467492260062,0.793760274852353,0.18699683214414653
nested_pair_rank_structure_memory_ordinary_all_success,af3,all,697,0.6513629842180775,0.9261282682418824,0.6583850931677019,0.793760274852353,0.18699683214414653
nested_pair_rank_structure_memory_ordinary_all_success,af3,high,300,0.9166666666666666,0.32889965176582336,0.7689655172413793,0.793760274852353,0.18699683214414653
nested_pair_rank_structure_memory_ordinary_all_success,af3,low,97,0.20618556701030927,7.8910441398620605,0.33695652173913043,0.793760274852353,0.18699683214414653
nested_pair_rank_structure_memory_ordinary_all_success,af3,mid,300,0.53,1.7901875972747803,0.648854961832061,0.793760274852353,0.18699683214414653
nested_pair_rank_structure_memory_ordinary_all_success,af3_no_template,all,697,0.6571018651362984,1.0154482126235962,0.6232339089481946,0.793760274852353,0.18699683214414653
nested_pair_rank_structure_memory_ordinary_all_success,af3_no_template,high,300,0.9233333333333333,0.34777654707431793,0.7344827586206897,0.793760274852353,0.18699683214414653
nested_pair_rank_structure_memory_ordinary_all_success,af3_no_template,low,97,0.20618556701030927,7.625801086425781,0.26881720430107525,0.793760274852353,0.18699683214414653
nested_pair_rank_structure_memory_ordinary_all_success,af3_no_template,mid,300,0.5366666666666666,1.7452657222747803,0.6259842519685039,0.793760274852353,0.18699683214414653
nested_pair_rank_structure_memory_ordinary_all_success,boltz,all,670,0.6104477611940299,1.2518504858016968,0.509375,0.793760274852353,0.18699683214414653
nested_pair_rank_structure_memory_ordinary_all_success,boltz,high,300,0.8466666666666667,0.5935752093791962,0.5733788395904437,0.793760274852353,0.18699683214414653
nested_pair_rank_structure_memory_ordinary_all_success,boltz,low,70,0.08571428571428572,7.857880353927612,0.2571428571428571,0.793760274852353,0.18699683214414653
nested_pair_rank_structure_memory_ordinary_all_success,boltz,mid,300,0.49666666666666665,2.0176048278808594,0.5054151624548736,0.793760274852353,0.18699683214414653
nested_pair_rank_structure_memory_ordinary_all_success,boltz1x,all,666,0.6171171171171171,1.1617193222045898,0.91875,0.793760274852353,0.18699683214414653
nested_pair_rank_structure_memory_ordinary_all_success,boltz1x,high,300,0.8466666666666667,0.5503106117248535,0.9326599326599326,0.793760274852353,0.18699683214414653
nested_pair_rank_structure_memory_ordinary_all_success,boltz1x,low,66,0.06060606060606061,7.1792778968811035,0.8153846153846154,0.793760274852353,0.18699683214414653
nested_pair_rank_structure_memory_ordinary_all_success,boltz1x,mid,300,0.51,1.9119031429290776,0.9280575539568345,0.793760274852353,0.18699683214414653
nested_pair_rank_structure_memory_ordinary_all_success,boltz2,all,630,0.6936507936507936,0.9370494186878204,,0.793760274852353,0.18699683214414653
nested_pair_rank_structure_memory_ordinary_all_success,boltz2,high,300,0.91,0.43619489669799805,,0.793760274852353,0.18699683214414653
nested_pair_rank_structure_memory_ordinary_all_success,boltz2,low,31,0.06451612903225806,8.908732414245605,,0.793760274852353,0.18699683214414653
nested_pair_rank_structure_memory_ordinary_all_success,boltz2,mid,299,0.5418060200668896,1.6851192712783811,,0.793760274852353,0.18699683214414653
nested_pair_rank_structure_memory_ordinary_all_success,chai,all,680,0.5941176470588235,1.1441155076026917,0.6881889763779527,0.793760274852353,0.18699683214414653
nested_pair_rank_structure_memory_ordinary_all_success,chai,high,300,0.8733333333333333,0.4359632730484009,0.8159722222222222,0.793760274852353,0.18699683214414653
nested_pair_rank_structure_memory_ordinary_all_success,chai,low,80,0.2125,9.581171989440918,0.5,0.793760274852353,0.18699683214414653
