threshold,objective,primary,secondary,tertiary,selector,outer_fold,chosen_threshold
0.5,all_success,0.6276059564719358,0.1538365699439525,-0.37239404352806416,nested_pair_rank_structure_memory_ordinary_all_success,1,0.7
0.6,all_success,0.6291932580592374,0.1560737064092769,-0.3708067419407626,nested_pair_rank_structure_memory_ordinary_all_success,1,0.7
0.7,all_success,0.6328963323808684,0.15156920190477238,-0.36710366761913155,nested_pair_rank_structure_memory_ordinary_all_success,1,0.7
0.02,low_success,0.12828015264076645,0.6139586454019444,-0.3860413545980556,nested_pair_rank_structure_antimemory_low_success,2,0.7
0.05,low_success,0.12828015264076645,0.6158100776657478,-0.3841899223342522,nested_pair_rank_structure_antimemory_low_success,2,0.7
0.1,low_success,0.12821012462956197,0.617396959665001,-0.3826030403349991,nested_pair_rank_structure_antimemory_low_success,2,0.7
0.2,low_success,0.13073214793163643,0.6189834220762056,-0.3810165779237944,nested_pair_rank_structure_antimemory_low_success,2,0.7
0.3,low_success,0.13300755084642554,0.624270860868799,-0.375729139131201,nested_pair_rank_structure_antimemory_low_success,2,0.7
0.4,low_success,0.13062659846547317,0.6261216637505297,-0.37387833624947026,nested_pair_rank_structure_antimemory_low_success,2,0.7
0.5,low_success,0.13300755084642554,0.6263866336031284,-0.37361336639687154,nested_pair_rank_structure_antimemory_low_success,2,0.7
0.6,low_success,0.13783948361953477,0.6292945885729391,-0.3707054114270609,nested_pair_rank_structure_antimemory_low_success,2,0.7
0.7,low_success,0.14029046401169162,0.629030248102413,-0.37096975189758696,nested_pair_rank_structure_antimemory_low_success,2,0.7
0.02,low_success,0.12821012462956197,0.6086714164033752,-0.39132858359662476,nested_pair_rank_structure_memory_antimemory_low_success,2,0.3
0.05,low_success,0.12337819185645271,0.608406866138825,-0.39159313386117506,nested_pair_rank_structure_memory_antimemory_low_success,2,0.3
0.1,low_success,0.13776844070961716,0.6155461567832702,-0.38445384321672976,nested_pair_rank_structure_memory_antimemory_low_success,2,0.3
0.2,low_success,0.14512138188608775,0.6197770728698564,-0.3802229271301436,nested_pair_rank_structure_memory_antimemory_low_success,2,0.3
0.3,low_success,0.14512138188608775,0.6234780492512452,-0.3765219507487549,nested_pair_rank_structure_memory_antimemory_low_success,2,0.3
0.4,low_success,0.1427059229488897,0.624271700044896,-0.3757282999551041,nested_pair_rank_structure_memory_antimemory_low_success,2,0.3
0.5,low_success,0.14025494255673282,0.6263868433971527,-0.37361315660284733,nested_pair_rank_structure_memory_antimemory_low_success,2,0.3
0.6,low_success,0.14025494255673282,0.6271798648087308,-0.3728201351912692,nested_pair_rank_structure_memory_antimemory_low_success,2,0.3
0.7,low_success,0.1427059229488897,0.6282374364848592,-0.37176256351514086,nested_pair_rank_structure_memory_antimemory_low_success,2,0.3
0.02,all_success,0.6091998875504031,0.13062659846547317,-0.390800112449597,nested_pair_rank_structure_memory_ordinary_all_success,2,0.7
0.05,all_success,0.6113154504907082,0.13062659846547317,-0.3886845495092918,nested_pair_rank_structure_memory_ordinary_all_success,2,0.7
0.1,all_success,0.6158094482836751,0.13318211342508016,-0.3841905517163249,nested_pair_rank_structure_memory_ordinary_all_success,2,0.7
0.2,all_success,0.6218924260161374,0.13794401818698496,-0.37810757398386263,nested_pair_rank_structure_memory_ordinary_all_success,2,0.7
0.3,all_success,0.625856693897931,0.15009337068160597,-0.374143306102069,nested_pair_rank_structure_memory_ordinary_all_success,2,0.7
0.4,all_success,0.6250645116624498,0.14519140989729226,-0.3749354883375502,nested_pair_rank_structure_memory_ordinary_all_success,2,0.7
0.5,all_success,0.6271802843967792,0.14032497056793733,-0.37281971560322075,nested_pair_rank_structure_memory_ordinary_all_success,2,0.7
0.6,all_success,0.6290306676904615,0.14032497056793733,-0.3709693323095385,nested_pair_rank_structure_memory_ordinary_all_success,2,0.7
0.7,all_success,0.6292950081609875,0.14032497056793733,-0.37070499183901245,nested_pair_rank_structure_memory_ordinary_all_success,2,0.7
0.02,low_success,0.13172022597309954,0.6041816144908928,-0.39581838550910714,nested_pair_rank_structure_antimemory_low_success,3,0.7
0.05,low_success,0.13172022597309954,0.606297177431198,-0.39370282256880196,nested_pair_rank_structure_antimemory_low_success,3,0.7
0.1,low_success,0.12942137539838688,0.6105274641357116,-0.3894725358642885,nested_pair_rank_structure_antimemory_low_success,3,0.7
0.2,low_success,0.13193710952331641,0.6166091831040285,-0.3833908168959715,nested_pair_rank_structure_antimemory_low_success,3,0.7
0.3,low_success,0.14602418510464488,0.6255994864242287,-0.3744005135757713,nested_pair_rank_structure_antimemory_low_success,3,0.7
0.4,low_success,0.14360164762463612,0.6277154689525823,-0.37228453104741766,nested_pair_rank_structure_antimemory_low_success,3,0.7
0.5,low_success,0.14585389987688838,0.6306238435104414,-0.36937615648955857,nested_pair_rank_structure_antimemory_low_success,3,0.7
0.6,low_success,0.1504516010263137,0.6322107255096946,-0.36778927449030546,nested_pair_rank_structure_antimemory_low_success,3,0.7
0.7,low_success,0.15275045160102632,0.6327394064507467,-0.3672605935492534,nested_pair_rank_structure_antimemory_low_success,3,0.7
0.02,low_success,0.1365348106727417,0.6060338859307932,-0.39396611406920684,nested_pair_rank_structure_memory_antimemory_low_success,3,0.4
0.05,low_success,0.1411791101446274,0.6086779200181263,-0.3913220799818738,nested_pair_rank_structure_memory_antimemory_low_success,3,0.4
0.1,low_success,0.15028131579855716,0.6131733863692627,-0.3868266136307374,nested_pair_rank_structure_memory_antimemory_low_success,3,0.4
0.2,low_success,0.15504930217573895,0.6192538465734342,-0.38074615342656576,nested_pair_rank_structure_memory_antimemory_low_success,3,0.4
0.3,low_success,0.15504930217573895,0.6240136533950967,-0.3759863466049033,nested_pair_rank_structure_memory_antimemory_low_success,3,0.4
0.4,low_success,0.15504930217573895,0.6287732504227349,-0.37122674957726504,nested_pair_rank_structure_memory_antimemory_low_success,3,0.4
0.5,low_success,0.15028131579855716,0.6285093295402574,-0.37149067045974266,nested_pair_rank_structure_memory_antimemory_low_success,3,0.4
0.6,low_success,0.15028131579855716,0.6311539930096631,-0.3688460069903369,nested_pair_rank_structure_memory_antimemory_low_success,3,0.4
