detector,flagged_fraction,flagged_n,flagged_failure_rate,failure_enrichment,failure_capture_rate,retained_coverage,retained_success,global_success,retained_success_delta,flagged_failure_rescueable_rate,actionable_flag_rate
rank_confidence_structure,0.2,946,0.8636363636363636,2.2999487836107555,0.4602816901408451,0.7998730696001692,0.7466278762232214,0.6244975671673365,0.12213030905588484,0.193390452876377,0.16701902748414377
rank_confidence_structure,0.3,1419,0.7836504580690627,2.0869384311506813,0.6264788732394366,0.6998096044002539,0.7995767835550182,0.6244975671673365,0.17507921638768165,0.20323741007194246,0.15926708949964763
rank_confidence_structure,0.4,1891,0.7139079851930196,1.901207349863326,0.7605633802816901,0.599957689866723,0.8501410437235544,0.6244975671673365,0.22564347655621786,0.2162962962962963,0.15441565309360128
rank_confidence_structure,0.5,2364,0.6412859560067682,1.707807726221968,0.8540845070422535,0.4998942246668077,0.890393567498942,0.6244975671673365,0.26589600033160554,0.22691292875989447,0.1455160744500846
rank_confidence_memory,0.05,237,0.9620253164556962,2.56196826528793,0.12845070422535212,0.94986249206685,0.6554565701559021,0.6244975671673365,0.030959002988565576,0.12280701754385964,0.11814345991561181
rank_confidence_memory,0.1,473,0.9344608879492601,2.4885614745555786,0.24901408450704227,0.8999365348000846,0.6866478608368594,0.6244975671673365,0.06215029366952285,0.13574660633484162,0.12684989429175475
rank_confidence_memory,0.2,946,0.8668076109936576,2.308394127981419,0.4619718309859155,0.7998730696001692,0.7474213171118751,0.6244975671673365,0.12292374994453859,0.13414634146341464,0.11627906976744186
rank_confidence_memory,0.3,1419,0.7928118393234672,2.111336092665932,0.6338028169014085,0.6998096044002539,0.8035066505441354,0.6244975671673365,0.17900908337679888,0.1671111111111111,0.1324876673713883
rank_confidence_memory,0.4,1891,0.7191961924907456,1.9152903672697208,0.7661971830985915,0.599957689866723,0.8536671368124118,0.6244975671673365,0.2291695696450753,0.1889705882352941,0.13590692755156003
rank_confidence_memory,0.5,2364,0.6442470389170897,1.7156933819499058,0.8580281690140845,0.4998942246668077,0.8933559035124842,0.6244975671673365,0.26885833634514766,0.206172028890348,0.13282571912013535
rank_confidence_structure_memory,0.05,237,0.9493670886075949,2.5282581565341413,0.1267605633802817,0.94986249206685,0.6547884187082406,0.6244975671673365,0.03029085154090405,0.12444444444444444,0.11814345991561181
rank_confidence_structure_memory,0.1,473,0.9429175475687104,2.5110823928773485,0.2512676056338028,0.8999365348000846,0.6875881523272214,0.6244975671673365,0.06309058515988486,0.13228699551569506,0.12473572938689217
